model,num_agents,noise,task_order,delta_medians,ci_low,ci_high,game_median,myth_median,n
openai/gpt-5-nano,2,no_noise,game_myth,35.0,24.0,38.0,25.0,60.0,5
openai/gpt-5-nano,2,noise_uninformed,game_myth,42.0,11.899999999999999,43.83000000000001,25.0,67.0,5
openai/gpt-5-nano,2,noise_informed,game_myth,29.0,15.0,43.0,25.0,54.0,5
openai/gpt-5-nano,2,no_noise,myth_game,32.0,20.0,41.0,25.0,57.0,5
openai/gpt-5-nano,2,noise_uninformed,myth_game,34.74,21.460000000000008,44.129999999999995,25.0,59.74,5
openai/gpt-5-nano,2,noise_informed,myth_game,38.0,18.060000000000002,47.75,25.0,63.0,5
google/gemini-3.7-flash,2,no_noise,game_myth,0.0,0.0,0.0,75.0,75.0,5
google/gemini-3.7-flash,2,noise_uninformed,game_myth,0.0,0.0,0.0,75.0,75.0,5
google/gemini-3.7-flash,2,noise_informed,game_myth,0.0,0.0,0.0,75.0,75.0,5
google/gemini-3.7-flash,2,no_noise,myth_game,0.0,0.0,0.0,75.0,75.0,5
google/gemini-3.7-flash,2,noise_uninformed,myth_game,0.0,0.0,0.0,75.0,75.0,5
google/gemini-3.7-flash,2,noise_informed,myth_game,0.0,0.0,0.0,75.0,75.0,5
anthropic/claude-sonnet-4.5,2,no_noise,game_myth,0.0,-14.0,14.0,55.0,55.0,5
anthropic/claude-sonnet-4.5,2,noise_uninformed,game_myth,0.5,-4.1299999999999955,6.700000000000003,51.8,52.3,5
anthropic/claude-sonnet-4.5,2,noise_informed,game_myth,4.0,1.75,9.5,51.5,55.5,5
anthropic/claude-sonnet-4.5,2,no_noise,myth_game,20.0,0.0,20.0,55.0,75.0,5
anthropic/claude-sonnet-4.5,2,noise_uninformed,myth_game,14.799999999999997,7.049999999999997,26.099999999999994,51.8,66.6,5
anthropic/claude-sonnet-4.5,2,noise_informed,myth_game,3.5,-5.400000000000006,20.0,51.5,55.0,5
openai/gpt-5-nano,8,no_noise,game_myth,20.5,3.75,32.0,25.0,45.5,5
openai/gpt-5-nano,8,noise_uninformed,game_myth,1.5,0.25,8.125,25.0,26.5,5
openai/gpt-5-nano,8,noise_informed,game_myth,14.5,4.75,23.0,25.0,39.5,5
openai/gpt-5-nano,8,no_noise,myth_game,44.5,30.25,46.0,25.0,69.5,5
openai/gpt-5-nano,8,noise_uninformed,myth_game,35.0,12.375,41.875,25.0,60.0,5
openai/gpt-5-nano,8,noise_informed,myth_game,22.5,5.565000000000001,25.8425,25.0,47.5,5
google/gemini-3.7-flash,8,no_noise,game_myth,0.0,0.0,0.0,75.0,75.0,5
google/gemini-3.7-flash,8,noise_uninformed,game_myth,0.0,0.0,0.0,75.0,75.0,5
google/gemini-3.7-flash,8,noise_informed,game_myth,0.0,0.0,0.0,75.0,75.0,5
google/gemini-3.7-flash,8,no_noise,myth_game,0.0,0.0,0.0,75.0,75.0,5
google/gemini-3.7-flash,8,noise_uninformed,myth_game,0.0,0.0,0.0,75.0,75.0,5
google/gemini-3.7-flash,8,noise_informed,myth_game,0.0,0.0,0.0,75.0,75.0,5
anthropic/claude-sonnet-4.5,8,no_noise,game_myth,0.0,-13.0,0.0,55.0,55.0,5
anthropic/claude-sonnet-4.5,8,noise_uninformed,game_myth,0.6124999999999972,-4.25,4.887499999999996,54.8875,55.5,5
anthropic/claude-sonnet-4.5,8,noise_informed,game_myth,-0.625,-2.25,0.125,54.875,54.25,5
anthropic/claude-sonnet-4.5,8,no_noise,myth_game,18.75,5.75,19.375,55.0,73.75,5
anthropic/claude-sonnet-4.5,8,noise_uninformed,myth_game,10.799999999999997,-1.3999999999999986,16.362499999999997,54.8875,65.6875,5
anthropic/claude-sonnet-4.5,8,noise_informed,myth_game,12.5,8.5,17.30000000000001,54.875,67.375,5
