source,arm,num_agents,task_order,runs,agents,resources_mean,resources_sd,resources
frontier,Gemini 3.1 Pro,2,game,1,2,75.0,0.9616652224137143,75.0 (±1.0)
frontier,Gemini 3.1 Pro,2,game_myth,1,2,75.0,0.9333809511662379,75.0 (±0.9)
frontier,Gemini 3.1 Pro,2,myth_game,1,2,75.0,0.3818376618407451,75.0 (±0.4)
frontier,Gemini 3.1 Pro,8,game,1,8,75.0,1.1543829520570763,75.0 (±1.2)
frontier,Gemini 3.1 Pro,8,game_myth,1,8,73.4175,2.0887915166430564,73.4 (±2.1)
frontier,Gemini 3.1 Pro,8,myth_game,1,8,75.0,0.8825935806312152,75.0 (±0.9)
frontier,Opus 5,2,game,1,2,69.0,5.034600282048221,69.0 (±5.0)
frontier,Opus 5,2,game_myth,1,2,74.0,2.913279938488579,74.0 (±2.9)
frontier,Opus 5,2,myth_game,1,2,75.0,1.1313708498984518,75.0 (±1.1)
frontier,Opus 5,8,game,1,8,68.625,1.352510892483205,68.6 (±1.4)
frontier,Opus 5,8,game_myth,1,8,71.875,2.5892856157635427,71.9 (±2.6)
frontier,Opus 5,8,myth_game,1,8,74.625,1.3918127952935553,74.6 (±1.4)
frontier,Sol (high),2,game,1,2,75.0,18.681761158948596,75.0 (±18.7)
frontier,Sol (high),2,game_myth,1,2,53.0,2.5597265478953055,53.0 (±2.6)
frontier,Sol (high),2,myth_game,1,2,75.0,0.6081118318204405,75.0 (±0.6)
frontier,Sol (high),8,game,1,8,36.625,4.406466028138972,36.6 (±4.4)
frontier,Sol (high),8,game_myth,1,8,68.75,3.8410675599369517,68.8 (±3.8)
frontier,Sol (high),8,myth_game,1,8,74.0,2.286756905063842,74.0 (±2.3)
frontier,Sol (none),2,game,1,2,75.0,0.9333809511662379,75.0 (±0.9)
september,GPT-5 Nano,2,game,5,10,25.0,0.0,25.0 (±0.0)
september,GPT-5 Nano,2,game_myth,5,10,53.7,11.508842252807186,53.7 (±11.5)
september,GPT-5 Nano,2,myth_game,5,10,59.638,12.442803185420521,59.6 (±12.4)
september,GPT-5 Nano,8,game,5,40,25.0,0.0,25.0 (±0.0)
september,GPT-5 Nano,8,game_myth,5,40,37.977,13.225093223460874,38.0 (±13.2)
september,GPT-5 Nano,8,myth_game,5,40,45.0065,12.016587104541193,45.0 (±12.0)
september,Gemini 3.7 Flash,2,game,5,10,75.0,1.913996691045555,75.0 (±1.9)
september,Gemini 3.7 Flash,2,game_myth,5,10,75.0,2.3001388846956394,75.0 (±2.3)
september,Gemini 3.7 Flash,2,myth_game,5,10,75.0,2.2072972412230984,75.0 (±2.2)
september,Gemini 3.7 Flash,8,game,5,40,75.0,1.702265082252587,75.0 (±1.7)
september,Gemini 3.7 Flash,8,game_myth,5,40,75.0,1.702176208902545,75.0 (±1.7)
september,Gemini 3.7 Flash,8,myth_game,5,40,75.0,1.6880101318203635,75.0 (±1.7)
september,Sonnet 4.5,2,game,5,10,50.4,5.532933720509902,50.4 (±5.5)
september,Sonnet 4.5,2,game_myth,5,10,55.58,6.153575293184354,55.6 (±6.2)
september,Sonnet 4.5,2,myth_game,5,10,57.82000000000001,8.34185963812759,57.8 (±8.3)
september,Sonnet 4.5,8,game,5,40,55.175,2.169506620031148,55.2 (±2.2)
september,Sonnet 4.5,8,game_myth,5,40,54.1125,2.1406744683597214,54.1 (±2.1)
september,Sonnet 4.5,8,myth_game,5,40,68.735,5.485766080246179,68.7 (±5.5)
