arm,fam,src,n,order,rep,round,investor,trustee,sent,sent_comm,received,received_comm,returned,returned_comm,ret_ratio,ret_ratio_seen,loss_seen,investor_payoff_comm
Gemini 3.1 Pro,gemini,frontier,2,game,0,1,Agent_1,Agent_2,5.0,4.62,15.0,13.86,6.93,6.02,0.46199999999999997,0.4013333333333333,False,6.02
Gemini 3.1 Pro,gemini,frontier,2,game,0,2,Agent_2,Agent_1,5.0,4.07,15.0,12.21,6.11,5.92,0.4073333333333334,0.39466666666666667,False,5.92
Gemini 3.1 Pro,gemini,frontier,2,game,0,3,Agent_1,Agent_2,5.0,4.47,15.0,13.41,6.71,6.2,0.4473333333333333,0.41333333333333333,False,6.2
Gemini 3.1 Pro,gemini,frontier,2,game,0,4,Agent_2,Agent_1,5.0,4.81,15.0,14.43,7.21,6.84,0.4806666666666667,0.456,False,6.84
Gemini 3.1 Pro,gemini,frontier,2,game,0,5,Agent_1,Agent_2,5.0,4.61,15.0,13.830000000000002,6.92,6.62,0.4613333333333333,0.44133333333333336,False,6.62
Gemini 3.1 Pro,gemini,frontier,2,game,0,6,Agent_2,Agent_1,5.0,4.88,15.0,14.64,7.32,7.2,0.48800000000000004,0.48000000000000004,False,7.2
Gemini 3.1 Pro,gemini,frontier,2,game,0,7,Agent_1,Agent_2,5.0,4.52,15.0,13.559999999999999,6.78,6.23,0.452,0.4153333333333334,False,6.23
Gemini 3.1 Pro,gemini,frontier,2,game,0,8,Agent_2,Agent_1,5.0,4.26,15.0,12.78,6.39,6.29,0.426,0.41933333333333334,False,6.29
Gemini 3.1 Pro,gemini,frontier,2,game,0,9,Agent_1,Agent_2,5.0,4.78,15.0,14.34,7.17,7.14,0.478,0.476,False,7.14
Gemini 3.1 Pro,gemini,frontier,2,game,0,10,Agent_2,Agent_1,5.0,4.53,15.0,13.59,6.8,6.6,0.4533333333333333,0.44,False,6.6
Gemini 3.1 Pro,gemini,frontier,2,game,1,1,Agent_1,Agent_2,5.0,4.77,15.0,14.309999999999999,7.15,6.51,0.4766666666666667,0.434,False,6.51
Gemini 3.1 Pro,gemini,frontier,2,game,1,2,Agent_2,Agent_1,5.0,4.49,15.0,13.47,6.74,6.14,0.44933333333333336,0.4093333333333333,False,6.14
Gemini 3.1 Pro,gemini,frontier,2,game,1,3,Agent_1,Agent_2,5.0,4.49,15.0,13.47,6.74,6.44,0.44933333333333336,0.42933333333333334,False,6.44
Gemini 3.1 Pro,gemini,frontier,2,game,1,4,Agent_2,Agent_1,5.0,4.04,15.0,12.120000000000001,6.06,5.9,0.40399999999999997,0.39333333333333337,False,5.9
Gemini 3.1 Pro,gemini,frontier,2,game,1,5,Agent_1,Agent_2,5.0,4.71,15.0,14.129999999999999,7.06,6.85,0.4706666666666666,0.45666666666666667,False,6.85
Gemini 3.1 Pro,gemini,frontier,2,game,1,6,Agent_2,Agent_1,5.0,4.26,15.0,12.78,6.39,5.62,0.426,0.37466666666666665,False,5.62
Gemini 3.1 Pro,gemini,frontier,2,game,1,7,Agent_1,Agent_2,5.0,4.1,15.0,12.299999999999999,6.15,5.24,0.41000000000000003,0.34933333333333333,False,5.24
Gemini 3.1 Pro,gemini,frontier,2,game,1,8,Agent_2,Agent_1,5.0,4.68,15.0,14.04,7.02,6.33,0.46799999999999997,0.422,False,6.33
Gemini 3.1 Pro,gemini,frontier,2,game,1,9,Agent_1,Agent_2,5.0,4.59,15.0,13.77,6.89,6.23,0.4593333333333333,0.4153333333333334,False,6.23
Gemini 3.1 Pro,gemini,frontier,2,game,1,10,Agent_2,Agent_1,5.0,4.06,15.0,12.18,6.09,6.03,0.40599999999999997,0.402,False,6.03
Gemini 3.1 Pro,gemini,frontier,2,game,2,1,Agent_1,Agent_2,5.0,4.88,15.0,14.64,7.32,6.55,0.48800000000000004,0.43666666666666665,False,6.55
Gemini 3.1 Pro,gemini,frontier,2,game,2,2,Agent_2,Agent_1,5.0,4.68,15.0,14.04,7.02,7.02,0.46799999999999997,0.46799999999999997,False,7.02
Gemini 3.1 Pro,gemini,frontier,2,game,2,3,Agent_1,Agent_2,5.0,4.15,15.0,12.450000000000001,5.8,5.68,0.38666666666666666,0.37866666666666665,False,5.68
Gemini 3.1 Pro,gemini,frontier,2,game,2,4,Agent_2,Agent_1,5.0,4.04,15.0,12.120000000000001,6.06,6.02,0.40399999999999997,0.4013333333333333,False,6.02
Gemini 3.1 Pro,gemini,frontier,2,game,2,5,Agent_1,Agent_2,5.0,4.12,15.0,12.36,6.18,6.08,0.412,0.4053333333333333,False,6.08
Gemini 3.1 Pro,gemini,frontier,2,game,2,6,Agent_2,Agent_1,5.0,4.17,15.0,12.51,6.26,5.45,0.41733333333333333,0.36333333333333334,False,5.45
Gemini 3.1 Pro,gemini,frontier,2,game,2,7,Agent_1,Agent_2,5.0,4.49,15.0,13.47,6.74,5.77,0.44933333333333336,0.38466666666666666,False,5.77
Gemini 3.1 Pro,gemini,frontier,2,game,2,8,Agent_2,Agent_1,5.0,4.49,15.0,13.47,6.74,6.05,0.44933333333333336,0.4033333333333333,False,6.05
Gemini 3.1 Pro,gemini,frontier,2,game,2,9,Agent_1,Agent_2,5.0,4.37,15.0,13.11,6.56,6.38,0.4373333333333333,0.42533333333333334,False,6.38
Gemini 3.1 Pro,gemini,frontier,2,game,2,10,Agent_2,Agent_1,5.0,4.42,15.0,13.26,6.63,6.11,0.442,0.4073333333333334,False,6.11
Gemini 3.1 Pro,gemini,frontier,2,game,3,1,Agent_1,Agent_2,5.0,4.01,15.0,12.03,6.01,5.88,0.40066666666666667,0.392,False,5.88
Gemini 3.1 Pro,gemini,frontier,2,game,3,2,Agent_2,Agent_1,3.0,2.68,9.0,8.040000000000001,4.02,3.84,0.4466666666666666,0.42666666666666664,False,5.84
Gemini 3.1 Pro,gemini,frontier,2,game,3,3,Agent_1,Agent_2,5.0,4.53,15.0,13.59,6.8,6.02,0.4533333333333333,0.4013333333333333,False,6.02
Gemini 3.1 Pro,gemini,frontier,2,game,3,4,Agent_2,Agent_1,3.0,2.18,9.0,6.540000000000001,3.27,3.17,0.36333333333333334,0.3522222222222222,False,5.17
Gemini 3.1 Pro,gemini,frontier,2,game,3,5,Agent_1,Agent_2,5.0,4.38,15.0,13.14,6.57,5.61,0.438,0.374,False,5.61
Gemini 3.1 Pro,gemini,frontier,2,game,3,6,Agent_2,Agent_1,4.0,3.93,12.0,11.790000000000001,5.9,5.28,0.4916666666666667,0.44,False,6.28
Gemini 3.1 Pro,gemini,frontier,2,game,3,7,Agent_1,Agent_2,5.0,4.53,15.0,13.59,6.8,6.31,0.4533333333333333,0.42066666666666663,False,6.31
Gemini 3.1 Pro,gemini,frontier,2,game,3,8,Agent_2,Agent_1,4.0,3.67,12.0,11.01,4.84,3.9,0.4033333333333333,0.325,True,4.9
Gemini 3.1 Pro,gemini,frontier,2,game,3,9,Agent_1,Agent_2,5.0,4.67,15.0,14.01,7.01,7.0,0.4673333333333333,0.4666666666666667,False,7.0
Gemini 3.1 Pro,gemini,frontier,2,game,3,10,Agent_2,Agent_1,5.0,4.64,15.0,13.919999999999998,6.96,6.46,0.464,0.43066666666666664,False,6.46
Gemini 3.1 Pro,gemini,frontier,2,game,4,1,Agent_1,Agent_2,5.0,4.42,15.0,13.26,6.34,5.52,0.42266666666666663,0.368,False,5.52
Gemini 3.1 Pro,gemini,frontier,2,game,4,2,Agent_2,Agent_1,5.0,4.54,15.0,13.620000000000001,6.81,6.65,0.45399999999999996,0.44333333333333336,False,6.65
Gemini 3.1 Pro,gemini,frontier,2,game,4,3,Agent_1,Agent_2,5.0,4.14,15.0,12.419999999999998,5.78,4.87,0.38533333333333336,0.32466666666666666,True,4.87
Gemini 3.1 Pro,gemini,frontier,2,game,4,4,Agent_2,Agent_1,5.0,4.76,15.0,14.28,7.14,6.9,0.476,0.46,False,6.9
Gemini 3.1 Pro,gemini,frontier,2,game,4,5,Agent_1,Agent_2,5.0,4.45,15.0,13.350000000000001,6.68,6.64,0.4453333333333333,0.44266666666666665,False,6.64
Gemini 3.1 Pro,gemini,frontier,2,game,4,6,Agent_2,Agent_1,5.0,4.99,15.0,14.97,7.49,6.63,0.49933333333333335,0.442,False,6.63
Gemini 3.1 Pro,gemini,frontier,2,game,4,7,Agent_1,Agent_2,5.0,4.59,15.0,13.77,6.89,6.88,0.4593333333333333,0.45866666666666667,False,6.88
Gemini 3.1 Pro,gemini,frontier,2,game,4,8,Agent_2,Agent_1,5.0,4.7,15.0,14.100000000000001,7.05,6.72,0.47,0.448,False,6.72
Gemini 3.1 Pro,gemini,frontier,2,game,4,9,Agent_1,Agent_2,5.0,4.18,15.0,12.54,6.27,5.65,0.418,0.3766666666666667,False,5.65
Gemini 3.1 Pro,gemini,frontier,2,game,4,10,Agent_2,Agent_1,5.0,4.31,15.0,12.93,6.47,6.16,0.4313333333333333,0.4106666666666667,False,6.16
Gemini 3.1 Pro,gemini,frontier,2,game_myth,0,1,Agent_1,Agent_2,5.0,4.62,15.0,13.86,6.93,6.02,0.46199999999999997,0.4013333333333333,False,6.02
Gemini 3.1 Pro,gemini,frontier,2,game_myth,0,2,Agent_2,Agent_1,5.0,4.07,15.0,12.21,6.11,5.92,0.4073333333333334,0.39466666666666667,False,5.92
Gemini 3.1 Pro,gemini,frontier,2,game_myth,0,3,Agent_1,Agent_2,5.0,4.47,15.0,13.41,6.71,6.2,0.4473333333333333,0.41333333333333333,False,6.2
Gemini 3.1 Pro,gemini,frontier,2,game_myth,0,4,Agent_2,Agent_1,5.0,4.81,15.0,14.43,7.22,6.85,0.48133333333333334,0.45666666666666667,False,6.85
Gemini 3.1 Pro,gemini,frontier,2,game_myth,0,5,Agent_1,Agent_2,5.0,4.61,15.0,13.830000000000002,6.91,6.61,0.46066666666666667,0.4406666666666667,False,6.61
Gemini 3.1 Pro,gemini,frontier,2,game_myth,0,6,Agent_2,Agent_1,5.0,4.88,15.0,14.64,7.32,7.2,0.48800000000000004,0.48000000000000004,False,7.2
Gemini 3.1 Pro,gemini,frontier,2,game_myth,0,7,Agent_1,Agent_2,5.0,4.52,15.0,13.559999999999999,6.78,6.23,0.452,0.4153333333333334,False,6.23
Gemini 3.1 Pro,gemini,frontier,2,game_myth,0,8,Agent_2,Agent_1,5.0,4.26,15.0,12.78,6.39,6.29,0.426,0.41933333333333334,False,6.29
Gemini 3.1 Pro,gemini,frontier,2,game_myth,0,9,Agent_1,Agent_2,5.0,4.78,15.0,14.34,7.17,7.14,0.478,0.476,False,7.14
Gemini 3.1 Pro,gemini,frontier,2,game_myth,0,10,Agent_2,Agent_1,5.0,4.53,15.0,13.59,6.8,6.6,0.4533333333333333,0.44,False,6.6
Gemini 3.1 Pro,gemini,frontier,2,game_myth,1,1,Agent_1,Agent_2,5.0,4.77,15.0,14.309999999999999,7.15,6.51,0.4766666666666667,0.434,False,6.51
Gemini 3.1 Pro,gemini,frontier,2,game_myth,1,2,Agent_2,Agent_1,5.0,4.49,15.0,13.47,6.48,5.88,0.43200000000000005,0.392,False,5.88
Gemini 3.1 Pro,gemini,frontier,2,game_myth,1,3,Agent_1,Agent_2,5.0,4.49,15.0,13.47,6.74,6.44,0.44933333333333336,0.42933333333333334,False,6.44
Gemini 3.1 Pro,gemini,frontier,2,game_myth,1,4,Agent_2,Agent_1,5.0,4.04,15.0,12.120000000000001,5.58,5.42,0.372,0.36133333333333334,False,5.42
Gemini 3.1 Pro,gemini,frontier,2,game_myth,1,5,Agent_1,Agent_2,5.0,4.71,15.0,14.129999999999999,7.07,6.86,0.4713333333333333,0.45733333333333337,False,6.86
Gemini 3.1 Pro,gemini,frontier,2,game_myth,1,6,Agent_2,Agent_1,5.0,4.26,15.0,12.78,6.02,5.25,0.4013333333333333,0.35,False,5.25
