setting,task_order,direction,outcome,n_games,n_runs,slope_per_0.1,ci_low,ci_high,p,sd_x_within_run
2-agent homogeneous,game_myth,myths before the game,sent_frac,135,15,0.028259331712559073,-0.017939766208651352,0.0744584296337695,0.23057378571990084,0.04715050974157148
2-agent homogeneous,game_myth,myths before the game,return_proportion,134,15,0.010158662228199992,-0.005425265792506243,0.025742590248906228,0.20137724323613027,0.04705683486579329
2-agent homogeneous,game_myth,myths before the game,giving_gap,134,15,0.010345972309753235,-0.02848487388208938,0.04917681850159586,0.6015263307915457,0.04705683486579329
2-agent homogeneous,game_myth,myths after the game,sent_frac,150,15,0.11272283079439625,0.043388878511882945,0.18205678307690953,0.0014400513132571612,0.04769829157937216
2-agent homogeneous,game_myth,myths after the game,return_proportion,144,15,-0.0006103419302575159,-0.023372255429245415,0.022151571568730384,0.9580866178888936,0.042886862135717824
2-agent homogeneous,game_myth,myths after the game,giving_gap,144,15,0.005736775415687433,-0.028651745498239997,0.04012529632961487,0.7436936875049225,0.042886862135717824
2-agent homogeneous,myth_game,myths before the game,sent_frac,150,15,0.060078208280057,-0.044202641317022534,0.16435905787713653,0.2588248422003566,0.05666892274038251
2-agent homogeneous,myth_game,myths before the game,return_proportion,146,15,-0.0024787745144477743,-0.019017561630425228,0.014060012601529682,0.7689470934589983,0.054499109756134465
2-agent homogeneous,myth_game,myths before the game,giving_gap,146,15,0.02719381230508245,-0.01247353790116107,0.06686116251132597,0.1790627541534876,0.054499109756134465
2-agent homogeneous,myth_game,myths after the game,sent_frac,135,15,0.04885975825372216,-0.014917929444370604,0.11263744595181491,0.13322155196356208,0.04702791406333835
2-agent homogeneous,myth_game,myths after the game,return_proportion,132,15,0.0073796779328639045,-0.011542609029871748,0.026301964895599557,0.444638139469793,0.046401808708374286
2-agent homogeneous,myth_game,myths after the game,giving_gap,132,15,0.009451951703954393,-0.022006088740673266,0.04090999214858205,0.5559316652433958,0.046401808708374286
2-agent mixed,game_myth,myths before the game,sent_frac,161,18,0.012334677452026136,-0.03064977244074837,0.055319127344800635,0.5738265796062889,0.0675625234507228
2-agent mixed,game_myth,myths before the game,return_proportion,160,18,0.006113943792283805,-0.026287426552300736,0.038515314136868345,0.7115066117510058,0.06776231706467548
2-agent mixed,game_myth,myths before the game,giving_gap,160,18,0.017870673796182703,-0.016181992928689187,0.05192334052105459,0.3036772861313449,0.06776231706467548
2-agent mixed,game_myth,myths after the game,sent_frac,179,18,0.05224807057763742,0.006371387048392502,0.09812475410688233,0.025604046316262043,0.06863366068935113
2-agent mixed,game_myth,myths after the game,return_proportion,173,18,-0.011094205328329873,-0.04329478250760219,0.02110637185094245,0.4995011011794739,0.06582798920501676
2-agent mixed,game_myth,myths after the game,giving_gap,173,18,0.021006085388968004,-0.011421422693896384,0.05343359347183239,0.2042138892861376,0.06582798920501676
2-agent mixed,myth_game,myths before the game,sent_frac,180,18,-0.008743333452921083,-0.038512786846982006,0.02102611994113984,0.5648555742015193,0.07947435805437546
2-agent mixed,myth_game,myths before the game,return_proportion,180,18,-0.011880472374706796,-0.032705117431302444,0.008944172681888851,0.26349840094603394,0.07947435805437546
2-agent mixed,myth_game,myths before the game,giving_gap,180,18,0.0038945483181418677,-0.019763119198140746,0.027552215834424482,0.746959425697229,0.07947435805437546
2-agent mixed,myth_game,myths after the game,sent_frac,162,18,-0.009707826212558886,-0.04615048036643081,0.02673482794131304,0.6015953569954529,0.07626229271877612
2-agent mixed,myth_game,myths after the game,return_proportion,162,18,0.007813064798130374,-0.011241795370934633,0.02686792496719538,0.42160255667186586,0.07626229271877612
2-agent mixed,myth_game,myths after the game,giving_gap,162,18,-0.01909043233445107,-0.04175777949489404,0.0035769148259919004,0.09880372454802044,0.07626229271877612
8-agent homogeneous,game_myth,myths before the game,sent_frac,540,15,0.006159896390584816,-0.014686363420751102,0.02700615620192073,0.5624859031537824,0.07663547187616378
8-agent homogeneous,game_myth,myths before the game,return_proportion,442,15,0.004896089551952175,-0.007196160115998979,0.01698833921990333,0.42744037940569535,0.08200725711341017
8-agent homogeneous,game_myth,myths before the game,giving_gap,442,15,0.014897825570242119,-0.0029951208762317772,0.03279077201671601,0.10270406009021879,0.08200725711341017
8-agent homogeneous,game_myth,myths after the game,sent_frac,600,15,0.019631930695612795,-0.005236971843241026,0.04450083323446661,0.1218081332342452,0.0751453866522319
8-agent homogeneous,game_myth,myths after the game,return_proportion,482,15,0.00016356118153039074,-0.005287085450450806,0.005614207813511588,0.9531003020847335,0.0801667277222181
8-agent homogeneous,game_myth,myths after the game,giving_gap,482,15,0.006781969847736946,-0.0035370696089797996,0.017101009304453692,0.19769557542013705,0.0801667277222181
8-agent homogeneous,myth_game,myths before the game,sent_frac,600,15,-0.030015603464510873,-0.06336242229313747,0.003331215364115736,0.07770313790054628,0.06994203979456615
8-agent homogeneous,myth_game,myths before the game,return_proportion,521,15,-0.003107472839708578,-0.012278442095844756,0.006063496416427601,0.5066197389018603,0.07236588881636757
8-agent homogeneous,myth_game,myths before the game,giving_gap,521,15,0.0051158001548661505,-0.008359863380230821,0.018591463689963124,0.45683650286316513,0.07236588881636757
