setting,outcome,n_runs,n_cells,spearman_rho_pooled,p_pooled,spearman_rho_within_cell,p_within_cell
2-agent homogeneous,sent_frac,30,6,-0.29560988361650925,0.11273889107168002,-0.3209626204921812,0.0837418345801665
2-agent homogeneous,return_proportion,30,6,-0.5295361029541299,0.0026191078707785385,0.0020022246941045607,0.9916218614160739
2-agent homogeneous,giving_gap,30,6,-0.05117365700817221,0.7882717073254766,-0.49899888765294764,0.005000323753434342
2-agent mixed,sent_frac,36,6,-0.2747994808932883,0.10480170736470443,0.017378991307223052,0.9198668860043592
2-agent mixed,return_proportion,36,6,-0.059716859716859715,0.7293689590149803,-0.003861003861003861,0.9821699588267139
2-agent mixed,giving_gap,36,6,-0.31660231660231664,0.05993220948387323,0.11402831402831404,0.5078498267201463
8-agent homogeneous,sent_frac,30,6,-0.7214858905555176,6.82766692506757e-06,0.046693714563128055,0.8064423633269638
8-agent homogeneous,return_proportion,30,6,-0.6542825361512792,8.784152719484365e-05,-0.010011123470522802,0.9581267661503257
8-agent homogeneous,giving_gap,30,6,-0.22313681868743046,0.2359167000378455,0.13014460511679646,0.49304974164017024
8-agent mixed,sent_frac,60,12,-0.28890185662041395,0.025174031845114398,-0.06838105559225617,0.6036607368324698
8-agent mixed,return_proportion,60,12,-0.48585718255070864,8.311029109194182e-05,-0.27229786051681026,0.035309424004758214
8-agent mixed,giving_gap,60,12,0.3597666018338428,0.0047528921625417,0.09185884968046681,0.48514861761296213
