marker_family,vs_family,marker,share_in_marker_family,share_in_other_family
Gemini,GPT,half,0.9070000000000007,0.003
Gemini,GPT,sacred,0.8680000000000007,0.008
Gemini,GPT,radiant,0.7000000000000005,0.003
Gemini,GPT,divided,0.5840000000000004,0.006
Gemini,GPT,eternal,0.5700000000000004,0.001
Gemini,GPT,celestial,0.5290000000000004,0.0
Gemini,GPT,seven,0.5170000000000003,0.002
Gemini,GPT,bounty,0.46800000000000036,0.008
Gemini,GPT,golden,0.44400000000000034,0.003
Gemini,GPT,seven half,0.43700000000000033,0.0
Gemini,GPT,pure,0.3980000000000003,0.002
Gemini,GPT,divide,0.3960000000000003,0.001
Gemini,GPT,steadfast,0.3930000000000003,0.005
Gemini,GPT,chasm,0.3840000000000003,0.006
Gemini,GPT,mists,0.3790000000000003,0.0
Gemini,GPT,guardian,0.3700000000000003,0.002
Gemini,GPT,waters,0.36900000000000027,0.006
Gemini,GPT,high,0.35900000000000026,0.009000000000000001
Gemini,GPT,equity,0.35800000000000026,0.002
Gemini,GPT,deep,0.35200000000000026,0.002
Gemini,GPT,unwavering,0.33300000000000024,0.0
Gemini,GPT,hesitation,0.32500000000000023,0.006
Gemini,GPT,shifting,0.32400000000000023,0.002
Gemini,GPT,perfect,0.32200000000000023,0.0
Gemini,GPT,boundless,0.3180000000000002,0.0
Sonnet,GPT,half,0.5720000000000004,0.003
Sonnet,GPT,sacred,0.5100000000000003,0.008
Sonnet,GPT,waters,0.47300000000000036,0.006
Sonnet,GPT,understood,0.43400000000000033,0.005
Sonnet,GPT,consistency,0.32400000000000023,0.001
Sonnet,GPT,season,0.2840000000000002,0.006
Sonnet,GPT,spirit,0.2760000000000002,0.006
Sonnet,GPT,different,0.2660000000000002,0.009000000000000001
Sonnet,GPT,consistent,0.25400000000000017,0.001
Sonnet,GPT,seven,0.2490000000000002,0.002
Sonnet,GPT,boldly,0.23500000000000018,0.008
Sonnet,GPT,elder,0.23100000000000018,0.002
Sonnet,GPT,eternal,0.22900000000000018,0.001
Sonnet,GPT,creates,0.21800000000000017,0.006
Sonnet,GPT,spring,0.21800000000000017,0.003
Sonnet,GPT,patterns,0.21800000000000017,0.004
Sonnet,GPT,honoring,0.21200000000000016,0.004
Sonnet,GPT,perfect,0.19900000000000015,0.0
Sonnet,GPT,springs,0.19500000000000015,0.003
Sonnet,GPT,character,0.18800000000000014,0.003
Sonnet,GPT,unwavering,0.18200000000000013,0.0
Sonnet,GPT,smiled,0.18100000000000013,0.007
Sonnet,GPT,revealed,0.17400000000000013,0.002
Sonnet,GPT,guardian,0.16500000000000012,0.002
Sonnet,GPT,said,0.16500000000000012,0.004
GPT,Gemini,gate,0.7150000000000005,0.002
GPT,Gemini,coins,0.5750000000000004,0.002
GPT,Gemini,spoke,0.5050000000000003,0.002
GPT,Gemini,road,0.45200000000000035,0.0
GPT,Gemini,honesty,0.4130000000000003,0.001
GPT,Gemini,bright,0.3870000000000003,0.008
GPT,Gemini,speak,0.35400000000000026,0.0
GPT,Gemini,harbor,0.34600000000000025,0.0
GPT,Gemini,ledger,0.34400000000000025,0.0
GPT,Gemini,travels,0.33700000000000024,0.0
GPT,Gemini,strangers,0.33000000000000024,0.0
GPT,Gemini,weighed,0.32100000000000023,0.003
GPT,Gemini,listening,0.3040000000000002,0.0
GPT,Gemini,grows,0.2930000000000002,0.003
GPT,Gemini,need,0.2850000000000002,0.0
GPT,Gemini,coin,0.2580000000000002,0.002
GPT,Gemini,keeps,0.2470000000000002,0.008
GPT,Gemini,listen,0.23800000000000018,0.001
GPT,Gemini,neighbors,0.23600000000000018,0.0
GPT,Gemini,market,0.23200000000000018,0.0
GPT,Gemini,listened,0.22200000000000017,0.0
GPT,Gemini,restraint,0.21300000000000016,0.004
GPT,Gemini,walk,0.20400000000000015,0.005
GPT,Gemini,rule,0.20200000000000015,0.007
GPT,Gemini,like,0.20100000000000015,0.002
Sonnet,Gemini,pattern,0.5860000000000004,0.0
Sonnet,Gemini,fairly,0.32600000000000023,0.008
Sonnet,Gemini,consistency,0.32400000000000023,0.0
Sonnet,Gemini,different,0.2660000000000002,0.0
Sonnet,Gemini,second,0.2620000000000002,0.005
Sonnet,Gemini,consistent,0.25400000000000017,0.001
Sonnet,Gemini,receive,0.2440000000000002,0.001
Sonnet,Gemini,asked,0.22100000000000017,0.0
Sonnet,Gemini,patterns,0.21800000000000017,0.001
Sonnet,Gemini,discovered,0.21300000000000016,0.001
Sonnet,Gemini,villages,0.19700000000000015,0.0
Sonnet,Gemini,meet,0.19500000000000015,0.005
Sonnet,Gemini,character,0.18800000000000014,0.001
Sonnet,Gemini,smiled,0.18100000000000013,0.0
Sonnet,Gemini,spoke,0.17600000000000013,0.002
Sonnet,Gemini,revealed,0.17400000000000013,0.0
Sonnet,Gemini,said,0.16500000000000012,0.0
Sonnet,Gemini,deeper,0.16100000000000012,0.001
Sonnet,Gemini,reputation,0.16000000000000011,0.0
Sonnet,Gemini,rivers,0.1550000000000001,0.009000000000000001
Sonnet,Gemini,maintain,0.1550000000000001,0.002
Sonnet,Gemini,pour,0.1540000000000001,0.004
Sonnet,Gemini,replied,0.1510000000000001,0.0
Sonnet,Gemini,exchanges,0.1500000000000001,0.002
Sonnet,Gemini,village,0.1480000000000001,0.0
GPT,Sonnet,gate,0.7150000000000005,0.008
GPT,Sonnet,road,0.45200000000000035,0.002
GPT,Sonnet,honesty,0.4130000000000003,0.0
GPT,Sonnet,harbor,0.34600000000000025,0.009000000000000001
GPT,Sonnet,weighed,0.32100000000000023,0.0
GPT,Sonnet,quiet,0.3050000000000002,0.009000000000000001
GPT,Sonnet,listening,0.3040000000000002,0.0
GPT,Sonnet,breath,0.2880000000000002,0.006
GPT,Sonnet,coin,0.2580000000000002,0.007
GPT,Sonnet,listen,0.23800000000000018,0.009000000000000001
GPT,Sonnet,neighbors,0.23600000000000018,0.005
GPT,Sonnet,market,0.23200000000000018,0.0
GPT,Sonnet,listened,0.22200000000000017,0.005
GPT,Sonnet,restraint,0.21300000000000016,0.001
GPT,Sonnet,rule,0.20200000000000015,0.004
GPT,Sonnet,bear,0.19600000000000015,0.006
GPT,Sonnet,debt,0.19400000000000014,0.001
GPT,Sonnet,common,0.19000000000000014,0.001
GPT,Sonnet,alive,0.18600000000000014,0.005
GPT,Sonnet,kin,0.18500000000000014,0.001
GPT,Sonnet,markets,0.18400000000000014,0.0
GPT,Sonnet,receiver weighed,0.17800000000000013,0.0
GPT,Sonnet,travel,0.17600000000000013,0.003
GPT,Sonnet,chose return,0.17500000000000013,0.006
GPT,Sonnet,palm,0.17300000000000013,0.0
Gemini,Sonnet,radiant,0.7000000000000005,0.006
Gemini,Sonnet,celestial,0.5290000000000004,0.007
Gemini,Sonnet,high,0.35900000000000026,0.006
Gemini,Sonnet,equity,0.35800000000000026,0.003
