child_family,marker_family,size,group,round,marker_rate_mean,marker_rate_sd,n_myths
GPT,Gemini,2,homogeneous,1,0.004272151898734177,0.003740833507843729,20
GPT,Gemini,2,homogeneous,2,0.0028481012658227852,0.0020276053022695805,20
GPT,Gemini,2,homogeneous,3,0.0033227848101265826,0.0031603903282735914,20
GPT,Gemini,2,homogeneous,4,0.001740506329113924,0.002807092431401952,20
GPT,Gemini,2,homogeneous,5,0.0025316455696202536,0.0030109277917326227,20
GPT,Gemini,2,homogeneous,6,0.002056962025316456,0.0025719231040735725,20
GPT,Gemini,2,homogeneous,7,0.0007911392405063292,0.0020210961191724844,20
GPT,Gemini,2,homogeneous,8,0.0006329113924050633,0.0012987067747913343,20
GPT,Gemini,2,homogeneous,9,0.0012658227848101266,0.001590584461867198,20
GPT,Gemini,2,homogeneous,10,0.0012658227848101266,0.002153661542337723,20
GPT,Gemini,2,"mixed, shown other family",2,0.005010548523206752,0.0034291919919330117,12
GPT,Gemini,2,"mixed, shown other family",3,0.004027617951668585,0.0034927618436769135,11
GPT,Gemini,2,"mixed, shown other family",4,0.007120253164556962,0.006896991999273218,12
GPT,Gemini,2,"mixed, shown other family",5,0.0050105485232067514,0.005305336153167477,12
GPT,Gemini,2,"mixed, shown other family",6,0.01107594936708861,0.007076164485758828,12
GPT,Gemini,2,"mixed, shown other family",7,0.01107594936708861,0.007076164485758828,12
GPT,Gemini,2,"mixed, shown other family",8,0.014240506329113924,0.008587348421518584,12
GPT,Gemini,2,"mixed, shown other family",9,0.016350210970464133,0.007963960374758175,12
GPT,Gemini,2,"mixed, shown other family",10,0.015295358649789028,0.008299823864250041,12
GPT,Gemini,2,"mixed, round 1 (nothing shown)",1,0.0042194092827004225,0.004337622891407228,12
GPT,Gemini,8,homogeneous,1,0.0032041139240506335,0.002780480075250878,80
GPT,Gemini,8,homogeneous,2,0.0022547468354430383,0.0033092137846223602,80
GPT,Gemini,8,homogeneous,3,0.0016218354430379747,0.0020756732193881397,80
GPT,Gemini,8,homogeneous,4,0.0015822784810126584,0.0020140690738626073,80
GPT,Gemini,8,homogeneous,5,0.001305379746835443,0.0021770208315673996,80
GPT,Gemini,8,homogeneous,6,0.0011471518987341773,0.0018323982004530173,80
GPT,Gemini,8,homogeneous,7,0.0013449367088607595,0.0019354328781249353,80
GPT,Gemini,8,homogeneous,8,0.000949367088607595,0.001623794399635729,80
GPT,Gemini,8,homogeneous,9,0.0011075949367088608,0.0016775514895342365,80
GPT,Gemini,8,homogeneous,10,0.0013449367088607595,0.0020622705217825314,80
GPT,Gemini,8,"mixed, shown same family",2,0.0034471066907775768,0.003108569955399671,112
GPT,Gemini,8,"mixed, shown same family",3,0.0036731464737793855,0.0037648648730883843,112
GPT,Gemini,8,"mixed, shown same family",4,0.0031099956350938455,0.002979824321153848,116
GPT,Gemini,8,"mixed, shown same family",5,0.0030232820976491864,0.0033009820418332834,112
GPT,Gemini,8,"mixed, shown same family",6,0.0031405830456463367,0.0037808485016415736,132
GPT,Gemini,8,"mixed, shown same family",7,0.0030741410488245927,0.003998252230392941,140
GPT,Gemini,8,"mixed, shown same family",8,0.003266639444671294,0.003696989002654513,124
GPT,Gemini,8,"mixed, shown same family",9,0.0027689873417721523,0.002974352528957716,120
GPT,Gemini,8,"mixed, shown same family",10,0.002689873417721519,0.0037522123380361286,120
GPT,Gemini,8,"mixed, shown other family",2,0.005783500654735923,0.0050694614244786535,58
GPT,Gemini,8,"mixed, shown other family",3,0.005619816673941512,0.004631362661011288,58
GPT,Gemini,8,"mixed, shown other family",4,0.004571026722925458,0.004627578703452565,54
GPT,Gemini,8,"mixed, shown other family",5,0.004201222173723265,0.005214673304200691,58
GPT,Gemini,8,"mixed, shown other family",6,0.002914723517654897,0.005010716339605957,38
GPT,Gemini,8,"mixed, shown other family",7,0.003270042194092827,0.004112104937543469,30
GPT,Gemini,8,"mixed, shown other family",8,0.005090809025866814,0.006518893833719775,46
GPT,Gemini,8,"mixed, shown other family",9,0.007151898734177216,0.013754070380336362,50
GPT,Gemini,8,"mixed, shown other family",10,0.006012658227848101,0.006713039061897603,50
GPT,Gemini,8,"mixed, round 1 (nothing shown)",1,0.00390915860014892,0.0033251534628486856,170
GPT,Sonnet,2,homogeneous,1,0.007967032967032968,0.007866934650151845,20
GPT,Sonnet,2,homogeneous,2,0.0032967032967032967,0.004142511180906879,20
GPT,Sonnet,2,homogeneous,3,0.0038461538461538455,0.004025797236621135,20
GPT,Sonnet,2,homogeneous,4,0.0016483516483516484,0.0025833095933056444,20
GPT,Sonnet,2,homogeneous,5,0.0032967032967032967,0.0048493403854839995,20
GPT,Sonnet,2,homogeneous,6,0.0019230769230769232,0.0032260601572109884,20
GPT,Sonnet,2,homogeneous,7,0.0016483516483516484,0.0025833095933056444,20
GPT,Sonnet,2,homogeneous,8,0.0013736263736263735,0.0024409981226336227,20
GPT,Sonnet,2,homogeneous,9,0.0016483516483516484,0.0025833095933056444,20
GPT,Sonnet,2,homogeneous,10,0.0016483516483516484,0.0031386844537224143,20
GPT,Sonnet,2,"mixed, shown other family",2,0.01098901098901099,0.005738823822715314,12
GPT,Sonnet,2,"mixed, shown other family",3,0.007783882783882784,0.007205341596436849,12
GPT,Sonnet,2,"mixed, shown other family",4,0.008241758241758242,0.0064162000892433214,12
GPT,Sonnet,2,"mixed, shown other family",5,0.014652014652014655,0.007531257327937823,12
GPT,Sonnet,2,"mixed, shown other family",6,0.015567765567765568,0.010947306812039802,12
GPT,Sonnet,2,"mixed, shown other family",7,0.015567765567765568,0.008713862209876473,12
GPT,Sonnet,2,"mixed, shown other family",8,0.01694139194139194,0.008594941153577085,12
GPT,Sonnet,2,"mixed, shown other family",9,0.02014652014652015,0.014122119719373976,12
GPT,Sonnet,2,"mixed, shown other family",10,0.021520146520146523,0.013347821040004053,12
GPT,Sonnet,2,"mixed, round 1 (nothing shown)",1,0.005952380952380952,0.007930635565791563,12
GPT,Sonnet,8,homogeneous,1,0.005013736263736264,0.004300130725961134,80
GPT,Sonnet,8,homogeneous,2,0.0038461538461538464,0.004820219951718136,80
GPT,Sonnet,8,homogeneous,3,0.002747252747252747,0.004100543322571617,80
GPT,Sonnet,8,homogeneous,4,0.0032967032967032967,0.003967927007037493,80
GPT,Sonnet,8,homogeneous,5,0.0022664835164835167,0.0036773926825447905,80
GPT,Sonnet,8,homogeneous,6,0.0031593406593406594,0.004523710499795774,80
GPT,Sonnet,8,homogeneous,7,0.0021291208791208794,0.003441187496723377,80
GPT,Sonnet,8,homogeneous,8,0.0022664835164835167,0.0040719025867807235,80
GPT,Sonnet,8,homogeneous,9,0.00260989010989011,0.003808210590749579,80
GPT,Sonnet,8,homogeneous,10,0.0019917582417582416,0.003181526545841503,80
GPT,Sonnet,8,"mixed, shown same family",2,0.0036630036630036634,0.004877062442849421,12
GPT,Sonnet,8,"mixed, shown same family",3,0.0022893772893772895,0.0028292782996947106,12
GPT,Sonnet,8,"mixed, shown same family",4,0.003777472527472528,0.004797870658399171,16
GPT,Sonnet,8,"mixed, shown same family",5,0.005036630036630037,0.0036733951836347336,12
GPT,Sonnet,8,"mixed, shown same family",6,0.007383241758241759,0.007721292306444526,32
GPT,Sonnet,8,"mixed, shown same family",7,0.00782967032967033,0.007557026020431413,40
GPT,Sonnet,8,"mixed, shown same family",8,0.007554945054945056,0.006021654550653357,24
GPT,Sonnet,8,"mixed, shown same family",9,0.008516483516483517,0.00899754247896627,20
GPT,Sonnet,8,"mixed, shown same family",10,0.007417582417582417,0.00860026145192227,20
GPT,Sonnet,8,"mixed, shown other family",2,0.00757862826828344,0.006330098921305518,58
GPT,Sonnet,8,"mixed, shown other family",3,0.007957559681697613,0.006604034698783012,58
GPT,Sonnet,8,"mixed, shown other family",4,0.006613756613756615,0.006073536047669551,54
GPT,Sonnet,8,"mixed, shown other family",5,0.0088101553618795,0.007200068603929953,58
GPT,Sonnet,8,"mixed, shown other family",6,0.010989010989010992,0.008850409519305815,38
GPT,Sonnet,8,"mixed, shown other family",7,0.0173992673992674,0.014143882556311438,30
GPT,Sonnet,8,"mixed, shown other family",8,0.012661251791686572,0.01145938161792152,46
GPT,Sonnet,8,"mixed, shown other family",9,0.014945054945054945,0.01132258896091489,50
GPT,Sonnet,8,"mixed, shown other family",10,0.02043956043956044,0.019451049923684186,50
GPT,Sonnet,8,"mixed, round 1 (nothing shown)",1,0.006357927786499216,0.006523741045167857,70
Gemini,GPT,2,homogeneous,1,0.0016326530612244899,0.0024418083331270157,20
Gemini,GPT,2,homogeneous,2,0.0010204081632653062,0.0018133128910992624,20
Gemini,GPT,2,homogeneous,3,0.0012244897959183675,0.002331594165622365,20
Gemini,GPT,2,homogeneous,4,0.0008163265306122449,0.0016750666972818844,20
Gemini,GPT,2,homogeneous,5,0.00040816326530612246,0.0012563000229614133,20
Gemini,GPT,2,homogeneous,6,0.00020408163265306123,0.0009126808071427716,20
Gemini,GPT,2,homogeneous,7,0.00040816326530612246,0.0012563000229614133,20
Gemini,GPT,2,homogeneous,8,0.00040816326530612246,0.0012563000229614133,20
Gemini,GPT,2,homogeneous,9,0.0006122448979591838,0.0014952961164592785,20
Gemini,GPT,2,homogeneous,10,0.00040816326530612246,0.0012563000229614133,20
Gemini,GPT,2,"mixed, shown other family",2,0.006802721088435375,0.005594648300753811,12
