child_family,parent_family,size,n_markers,n_children,p_start_if_parent_used,p_start_if_parent_did_not,excess,null_mean,null_sd,p_perm
GPT,Gemini,2,316,107,0.02443280977312391,0.00432338953739732,0.020109420235726587,0.009803249161200726,0.0016330369278074722,0.000999000999000999
GPT,Gemini,8,316,352,0.01784164336001543,0.0029817556981856777,0.014859887661829753,0.0076700657356038,0.0005656271537863759,0.000999000999000999
GPT,Sonnet,2,182,108,0.04199288256227758,0.006060952598776374,0.03593192996350121,0.014534435704419396,0.0029179260041101683,0.000999000999000999
GPT,Sonnet,8,182,442,0.0311562098042018,0.006331077270163564,0.024825132534038237,0.010866158676546573,0.0012301192341257548,0.000999000999000999
Gemini,GPT,2,245,107,0.024361948955916472,0.004727533662572285,0.019634415293344188,0.00632811220221578,0.0021402814969740547,0.000999000999000999
Gemini,GPT,8,245,442,0.02280609563846558,0.0053755023224257605,0.01743059331603982,0.0055921287220934415,0.0009038005381730612,0.000999000999000999
Gemini,Sonnet,2,173,108,0.03582718651211802,0.008351101634683724,0.027476084877434297,0.007387779646683555,0.0034988818612841153,0.000999000999000999
Sonnet,GPT,2,180,108,0.013411567476948869,0.003461946507342677,0.009949620969606192,0.00354658867750617,0.00235748160979042,0.005994005994005994
Sonnet,GPT,8,180,352,0.017077798861480076,0.003022964222531389,0.014054834638948688,0.004635358918833537,0.0008947091275293993,0.000999000999000999
Sonnet,Gemini,2,234,108,0.040995607613469986,0.010977337110481586,0.0300182705029884,0.007794710221593674,0.003053662514024944,0.000999000999000999
