fe,setting,role,model,predictor,level,coef,ci_low,ci_high,p,n_decisions,n_runs
run,2-agent homogeneous,investor,"own + shown label, own lag",own_label,be cautious,-0.16557830649638944,-0.4829179588007661,0.15176134580798722,0.30647317817843545,240,30
run,2-agent homogeneous,investor,"own + shown label, own lag",own_label,be generous,-0.009850238364927504,-0.04694865471437255,0.027248177984517542,0.602782996229869,240,30
run,2-agent homogeneous,investor,"own + shown label, own lag",shown_label,be cautious,-0.08498304212265384,-0.2134242924440287,0.04345820819872101,0.19469709419871473,240,30
run,2-agent homogeneous,investor,"own + shown label, own lag",shown_label,be generous,-0.012964815510992246,-0.03545275569820146,0.009523124676216969,0.2584912325848068,240,30
run,2-agent homogeneous,investor,"own + shown label, own lag",coop_lag_same_role,,0.1533153523963596,-0.07410468688486091,0.3807353916775801,0.18639773247327718,240,30
run,2-agent homogeneous,investor,"own + shown label, no lag",own_label,be cautious,-0.21944512187830792,-0.47374931544453525,0.03485907168791938,0.09077963047973069,255,30
run,2-agent homogeneous,investor,"own + shown label, no lag",own_label,be generous,-0.0104491522705545,-0.04601875291626129,0.025120448375152295,0.5647696434420004,255,30
run,2-agent homogeneous,investor,"own + shown label, no lag",shown_label,be cautious,-0.07422781084428691,-0.2372526929725443,0.0887970712839705,0.37217715426316,255,30
run,2-agent homogeneous,investor,"own + shown label, no lag",shown_label,be generous,-0.0015384355560683978,-0.022279866658551858,0.019202995546415063,0.8844150785705559,255,30
run,2-agent homogeneous,trustee,"own + shown label, own lag",own_label,be cautious,0.03547920301617546,0.015036258450047808,0.05592214758230311,0.0006700172805293119,230,30
run,2-agent homogeneous,trustee,"own + shown label, own lag",own_label,be generous,0.014483033615786326,-0.003077375729391948,0.0320434429609646,0.10598843623646236,230,30
run,2-agent homogeneous,trustee,"own + shown label, own lag",shown_label,be cautious,-0.13379724178643745,-0.1481854993739615,-0.11940898419891342,3.2201998320979285e-74,230,30
run,2-agent homogeneous,trustee,"own + shown label, own lag",shown_label,be generous,-0.0019486187426001572,-0.01745097420142346,0.013553736716223144,0.8054004586289287,230,30
run,2-agent homogeneous,trustee,"own + shown label, own lag",coop_lag_same_role,,0.20567462692637403,7.30806879812862e-05,0.4112761731647668,0.049918622242821745,230,30
run,2-agent homogeneous,trustee,"own + shown label, no lag",own_label,be cautious,0.00417610115619263,-0.023978401240376552,0.03233060355276181,0.7712673507152914,252,30
run,2-agent homogeneous,trustee,"own + shown label, no lag",own_label,be generous,0.017058813988412004,-0.0033414794691917875,0.0374591074460158,0.10122775647034746,252,30
run,2-agent homogeneous,trustee,"own + shown label, no lag",shown_label,be cautious,-0.07959331926306953,-0.15144942060243055,-0.007737217923708531,0.029930706185771906,252,30
run,2-agent homogeneous,trustee,"own + shown label, no lag",shown_label,be generous,-0.008958089231625548,-0.02792243316975718,0.010006254706506085,0.3545405358738929,252,30
run,2-agent mixed,investor,"own + shown label, own lag",own_label,be cautious,0.08988085421379238,0.03241651283098088,0.1473451955966039,0.002172267395169918,286,36
run,2-agent mixed,investor,"own + shown label, own lag",own_label,be generous,0.0237474378777476,0.004530528096074727,0.042964347659420477,0.015433654271904422,286,36
run,2-agent mixed,investor,"own + shown label, own lag",shown_label,be cautious,0.01209118387493351,-0.03104738969339697,0.055229757443263985,0.5827635380610008,286,36
run,2-agent mixed,investor,"own + shown label, own lag",shown_label,be generous,0.008385135753189289,-0.006357606173784938,0.023127877680163514,0.264954878187866,286,36
run,2-agent mixed,investor,"own + shown label, own lag",coop_lag_same_role,,0.18910541358031696,0.055975856945844255,0.32223497021478964,0.005368418856448592,286,36
run,2-agent mixed,investor,"own + shown label, no lag",own_label,be cautious,0.09853205654980132,0.016563804840688576,0.18050030825891406,0.018471655129917528,304,36
