fe,setting,role,model,predictor,level,coef,ci_low,ci_high,p,n_decisions,n_runs
run,2-agent homogeneous,investor,"own + shown label, own lag",own_label,be cautious,-0.11962237687254762,-0.4376080806710122,0.19836332692591696,0.46093096305229087,240,30
run,2-agent homogeneous,investor,"own + shown label, own lag",own_label,be generous,-0.011331534984314785,-0.0575084069305585,0.03484533696192893,0.6305422786141177,240,30
run,2-agent homogeneous,investor,"own + shown label, own lag",shown_label,be cautious,-0.1779830095669751,-0.43109812130861536,0.07513210217466515,0.1681451549125904,240,30
run,2-agent homogeneous,investor,"own + shown label, own lag",shown_label,be generous,-0.03550096225310925,-0.08031678040879542,0.009314855902576913,0.12052102913962766,240,30
run,2-agent homogeneous,investor,"own + shown label, own lag",coop_lag_same_role,,0.1146862661509852,-0.1342160427589079,0.36358857506087827,0.36647863188803353,240,30
run,2-agent homogeneous,investor,"own + shown label, no lag",own_label,be cautious,-0.20694158289972853,-0.5041226397889578,0.09023947398950072,0.17231026660393356,255,30
run,2-agent homogeneous,investor,"own + shown label, no lag",own_label,be generous,-0.007555740324430364,-0.05766923463663858,0.042557753987777856,0.7676052256728689,255,30
run,2-agent homogeneous,investor,"own + shown label, no lag",shown_label,be cautious,-0.18002554294821388,-0.43733490352463794,0.07728381762821018,0.17028720283837206,255,30
run,2-agent homogeneous,investor,"own + shown label, no lag",shown_label,be generous,-0.02494668363823563,-0.07177059097909409,0.021877223702622836,0.2963822234648442,255,30
run,2-agent homogeneous,trustee,"own + shown label, own lag",own_label,be cautious,0.00930263974703378,-0.014605236700759788,0.033210516194827344,0.44568471046332503,230,30
run,2-agent homogeneous,trustee,"own + shown label, own lag",own_label,be generous,0.014179819300981672,-0.005965967638524595,0.03432560624048794,0.16772807411709445,230,30
run,2-agent homogeneous,trustee,"own + shown label, own lag",shown_label,be cautious,-0.0495716438705327,-0.12832201002215457,0.02917872228108917,0.21729431344758343,230,30
run,2-agent homogeneous,trustee,"own + shown label, own lag",shown_label,be generous,-0.012371096295677425,-0.03379987363011022,0.009057681038755368,0.2578399600503054,230,30
run,2-agent homogeneous,trustee,"own + shown label, own lag",coop_lag_same_role,,0.20674710010170183,0.011522837895735522,0.40197136230766817,0.03792650875240139,230,30
run,2-agent homogeneous,trustee,"own + shown label, no lag",own_label,be cautious,-0.01669332306582639,-0.03950910451919443,0.006122458387541645,0.15156624196104215,252,30
run,2-agent homogeneous,trustee,"own + shown label, no lag",own_label,be generous,0.008186377717345303,-0.015551591667848929,0.03192434710253954,0.4990904432234643,252,30
run,2-agent homogeneous,trustee,"own + shown label, no lag",shown_label,be cautious,-0.067747790449803,-0.12276187615630393,-0.012733704743302071,0.015794821955022558,252,30
run,2-agent homogeneous,trustee,"own + shown label, no lag",shown_label,be generous,-0.024044640251342994,-0.0453059337033833,-0.0027833467993026856,0.026654150595109272,252,30
run,2-agent mixed,investor,"own + shown label, own lag",own_label,be cautious,0.12333820287572056,0.00815614799721101,0.2385202577542301,0.03583886958636244,286,36
run,2-agent mixed,investor,"own + shown label, own lag",own_label,be generous,0.032695608104818696,0.005041347032050215,0.06034986917758718,0.020489373380643248,286,36
run,2-agent mixed,investor,"own + shown label, own lag",shown_label,be cautious,0.047501784015865356,-0.019031295474670473,0.11403486350640119,0.16171381425109077,286,36
run,2-agent mixed,investor,"own + shown label, own lag",shown_label,be generous,-0.007437231325450947,-0.023731891813253445,0.008857429162351552,0.3710172864768877,286,36
run,2-agent mixed,investor,"own + shown label, own lag",coop_lag_same_role,,0.15344184880795858,0.014216265490405527,0.2926674321255116,0.030765309910998365,286,36
run,2-agent mixed,investor,"own + shown label, no lag",own_label,be cautious,0.17118369662233912,0.07145107965214444,0.2709163135925338,0.0007678427350947827,304,36
run,2-agent mixed,investor,"own + shown label, no lag",own_label,be generous,0.037322635437215666,0.010504115960754196,0.06414115491367714,0.006379095030746116,304,36
run,2-agent mixed,investor,"own + shown label, no lag",shown_label,be cautious,0.06261781841578383,0.015576707603435616,0.10965892922813204,0.009081620778642838,304,36
run,2-agent mixed,investor,"own + shown label, no lag",shown_label,be generous,-0.02258382480886736,-0.043822963724912636,-0.0013446858928220819,0.03715538047533203,304,36
run,2-agent mixed,trustee,"own + shown label, own lag",own_label,be cautious,0.03728783754015622,-0.025531328407110067,0.10010700348742252,0.2446736989378434,281,36
run,2-agent mixed,trustee,"own + shown label, own lag",own_label,be generous,-0.013602868772650467,-0.03629401108166545,0.009088273536364518,0.240011630511066,281,36
run,2-agent mixed,trustee,"own + shown label, own lag",shown_label,be cautious,0.018454606368438608,-0.03687683452226381,0.07378604725914102,0.5133027633448517,281,36
run,2-agent mixed,trustee,"own + shown label, own lag",shown_label,be generous,-0.0014651263112572925,-0.021230651333751037,0.018300398711236454,0.8844874351107518,281,36
run,2-agent mixed,trustee,"own + shown label, own lag",coop_lag_same_role,,0.21190074225669359,0.08819920578280818,0.335602278730579,0.0007867394235964056,281,36
run,2-agent mixed,trustee,"own + shown label, no lag",own_label,be cautious,0.04147728595223465,-0.005509084836966792,0.08846365674143608,0.08360151271465184,305,36
run,2-agent mixed,trustee,"own + shown label, no lag",own_label,be generous,-0.02109323136194324,-0.04468274365624969,0.002496280932363211,0.07967801297552489,305,36
run,2-agent mixed,trustee,"own + shown label, no lag",shown_label,be cautious,0.0007101578084239816,-0.04366614820809333,0.045086463824941296,0.9749780779534986,305,36
run,2-agent mixed,trustee,"own + shown label, no lag",shown_label,be generous,0.006362760085969616,-0.012374208071179973,0.025099728243119204,0.505685416756194,305,36
run,8-agent homogeneous,investor,"own + shown label, own lag",own_label,be cautious,-0.029156170407719728,-0.10401878964325954,0.04570644882782009,0.44526533442205296,960,30
run,8-agent homogeneous,investor,"own + shown label, own lag",own_label,be generous,0.02953465262938259,0.0073808711940089,0.051688434064756275,0.008976286567162678,960,30
run,8-agent homogeneous,investor,"own + shown label, own lag",shown_label,be cautious,0.09649139439413892,-0.006838452899358222,0.19982124168763607,0.06721226798952488,960,30
run,8-agent homogeneous,investor,"own + shown label, own lag",shown_label,be generous,0.0007745567257237407,-0.02437508949498612,0.025924202946433602,0.9518666788915351,960,30
run,8-agent homogeneous,investor,"own + shown label, own lag",coop_lag_same_role,,0.050188964221615257,-0.021918107196715816,0.12229603563994633,0.17250421162874918,960,30
run,8-agent homogeneous,investor,"own + shown label, no lag",own_label,be cautious,-0.04407952958317459,-0.12819320639600407,0.04003414722965489,0.30436703680012356,1020,30
run,8-agent homogeneous,investor,"own + shown label, no lag",own_label,be generous,0.025639878885994602,0.0037579789121729573,0.04752177885981625,0.021643509574224187,1020,30
run,8-agent homogeneous,investor,"own + shown label, no lag",shown_label,be cautious,0.08853862182763864,-0.015555783452237154,0.19263302710751443,0.09550077347876192,1020,30
run,8-agent homogeneous,investor,"own + shown label, no lag",shown_label,be generous,-0.0006527529703367341,-0.02409203844543416,0.022786532504760693,0.9564711654746263,1020,30
run,8-agent homogeneous,investor,placebo: co-player's unseen label,coplayer_label,be cautious,-0.08117951360589491,-0.11793896733281356,-0.044420059878976265,1.5020942186583322e-05,879,30
run,8-agent homogeneous,investor,placebo: co-player's unseen label,coplayer_label,be generous,-0.0226264577956349,-0.06808541748119142,0.022832501889921614,0.3292923737835689,879,30
run,8-agent homogeneous,investor,placebo: co-player's unseen label,own_label,be cautious,-0.07947201248780751,-0.14975245199927148,-0.009191572976343543,0.026671212175541647,879,30
run,8-agent homogeneous,investor,placebo: co-player's unseen label,own_label,be generous,0.01726780017944752,-0.004212425220443176,0.038748025579338215,0.11511776596164296,879,30
run,8-agent homogeneous,investor,placebo: co-player's unseen label,coop_lag_same_role,,0.03170609607031727,-0.04004891906535078,0.10346111120598532,0.3864675152435565,879,30
run,8-agent homogeneous,trustee,"own + shown label, own lag",own_label,be cautious,0.02918540346306592,-0.017325481894187037,0.07569628882031888,0.21874581340481825,754,30
run,8-agent homogeneous,trustee,"own + shown label, own lag",own_label,be generous,0.00854009141520554,-0.003725149999840348,0.020805332830251426,0.17235000940707734,754,30
run,8-agent homogeneous,trustee,"own + shown label, own lag",shown_label,be cautious,-0.02900149225390455,-0.07249821624796063,0.014495231740151531,0.19127782263449433,754,30
run,8-agent homogeneous,trustee,"own + shown label, own lag",shown_label,be generous,0.005600600059798224,-0.0040446652540450535,0.015245865373641502,0.25509180309297663,754,30
run,8-agent homogeneous,trustee,"own + shown label, own lag",coop_lag_same_role,,0.022245756416960638,-0.1448386674530487,0.18933018028696996,0.7941301381909149,754,30
run,8-agent homogeneous,trustee,"own + shown label, no lag",own_label,be cautious,0.013230962650490013,-0.025139689769390648,0.05160161507037068,0.49914573467198486,850,30
run,8-agent homogeneous,trustee,"own + shown label, no lag",own_label,be generous,0.008435352473704564,-0.004179824515851487,0.021050529463260616,0.19000537034496412,850,30
run,8-agent homogeneous,trustee,"own + shown label, no lag",shown_label,be cautious,-0.026460123915225415,-0.058302126056236775,0.005381878225785942,0.10337773331101889,850,30
run,8-agent homogeneous,trustee,"own + shown label, no lag",shown_label,be generous,0.0009593162273173266,-0.011746463236751273,0.013665095691385926,0.8823570607903752,850,30
run,8-agent mixed,investor,"own + shown label, own lag",own_label,be cautious,0.005710599659100868,-0.03309846925290683,0.04451966857110857,0.7730398934862589,1920,60
run,8-agent mixed,investor,"own + shown label, own lag",own_label,be generous,0.037566855580762795,0.016420288829233857,0.05871342233229174,0.0004979176592751979,1920,60
run,8-agent mixed,investor,"own + shown label, own lag",shown_label,be cautious,-0.02739544630222923,-0.07636905566474916,0.021578163060290693,0.2729089196440829,1920,60
run,8-agent mixed,investor,"own + shown label, own lag",shown_label,be generous,-0.00702213146141031,-0.03305279872985282,0.019008535807032198,0.5969946272591142,1920,60
run,8-agent mixed,investor,"own + shown label, own lag",coop_lag_same_role,,0.13263007558395404,0.06811000049105528,0.1971501506768528,5.601909071749253e-05,1920,60
run,8-agent mixed,investor,"own + shown label, no lag",own_label,be cautious,0.0071259356759552014,-0.03813238182532589,0.052384253177236294,0.7576281658227497,2040,60
run,8-agent mixed,investor,"own + shown label, no lag",own_label,be generous,0.06208709493973413,0.03773981678234746,0.0864343730971208,5.791844138190381e-07,2040,60
run,8-agent mixed,investor,"own + shown label, no lag",shown_label,be cautious,-0.022324939602084995,-0.07047780041560614,0.025827921211436157,0.36351318677681654,2040,60
run,8-agent mixed,investor,"own + shown label, no lag",shown_label,be generous,-0.015554014815888056,-0.04276855079079789,0.011660521159021778,0.2626350305866657,2040,60
run,8-agent mixed,investor,placebo: co-player's unseen label,coplayer_label,be cautious,-0.05649981260542185,-0.11222506901641746,-0.0007745561944262278,0.04689950574974902,1758,60
run,8-agent mixed,investor,placebo: co-player's unseen label,coplayer_label,be generous,0.023808322777126183,-0.004126696255175002,0.05174334180942737,0.09483459190478069,1758,60
run,8-agent mixed,investor,placebo: co-player's unseen label,own_label,be cautious,-0.008313450909870481,-0.048978550305696644,0.032351648485955675,0.6886489953494305,1758,60
run,8-agent mixed,investor,placebo: co-player's unseen label,own_label,be generous,0.03333576831724428,0.012103731816753348,0.05456780481773521,0.002088995031592086,1758,60
run,8-agent mixed,investor,placebo: co-player's unseen label,coop_lag_same_role,,0.13676977584396344,0.0705491801328697,0.20299037155505717,5.164760644980188e-05,1758,60
run,8-agent mixed,trustee,"own + shown label, own lag",own_label,be cautious,-0.004855431413642867,-0.021529025607122755,0.011818162779837021,0.5681684367106472,1596,60
run,8-agent mixed,trustee,"own + shown label, own lag",own_label,be generous,0.007958107488124502,0.0008221876465128409,0.015094027329736161,0.028831159079766487,1596,60
run,8-agent mixed,trustee,"own + shown label, own lag",shown_label,be cautious,-0.003315328424662984,-0.019374410342657203,0.012743753493331234,0.6857523419606673,1596,60
run,8-agent mixed,trustee,"own + shown label, own lag",shown_label,be generous,-0.0016668413809279737,-0.008288501509216608,0.004954818747360661,0.6217489762096675,1596,60
run,8-agent mixed,trustee,"own + shown label, own lag",coop_lag_same_role,,0.18680347936910968,0.12199560227953606,0.2516113564586833,1.6097310998043974e-08,1596,60
run,8-agent mixed,trustee,"own + shown label, no lag",own_label,be cautious,-0.007524205479115371,-0.02346355840548996,0.008415147447259217,0.35485919418080614,1861,60
run,8-agent mixed,trustee,"own + shown label, no lag",own_label,be generous,0.011112157002580088,0.00369643017664892,0.018527883828511255,0.0033148512496535697,1861,60
run,8-agent mixed,trustee,"own + shown label, no lag",shown_label,be cautious,-0.0034212363064801,-0.018264992958676705,0.011422520345716506,0.6514572054612261,1861,60
run,8-agent mixed,trustee,"own + shown label, no lag",shown_label,be generous,-0.001223477487573802,-0.007194426742176474,0.00474747176702887,0.6879736725794325,1861,60
run,all settings,investor,"own + shown label, own lag",own_label,be cautious,-0.005708439052240015,-0.04093042392391346,0.029513545819433433,0.7507489033240948,3406,156
run,all settings,investor,"own + shown label, own lag",own_label,be generous,0.027664600887368468,0.013325636843888813,0.04200356493084812,0.00015593738448739172,3406,156
run,all settings,investor,"own + shown label, own lag",shown_label,be cautious,0.0075803585273221214,-0.039167498820782805,0.05432821587542704,0.7506243076043206,3406,156
run,all settings,investor,"own + shown label, own lag",shown_label,be generous,-0.009857020972586323,-0.02737778627731638,0.007663744332143731,0.27017585945340483,3406,156
run,all settings,investor,"own + shown label, own lag",coop_lag_same_role,,0.1341875399464723,0.078824838970314,0.18955024092263062,2.028737958141644e-06,3406,156
run,all settings,investor,"own + shown label, no lag",own_label,be cautious,-0.010917904526959388,-0.05148877868380662,0.029652969629887848,0.5978881099925715,3619,156
