setting,family,n_runs,drift_from_round1_mean,drift_from_round1_sd,stability_vs_previous_mean,stability_vs_previous_sd
2-agent homogeneous,GPT,10,0.802685904353857,0.03287235154743655,0.7899542774591182,0.027445256669471427
2-agent homogeneous,Gemini,10,0.7788612541556358,0.031929786716060164,0.7873326311508814,0.019551580087889122
2-agent homogeneous,Sonnet,10,0.6839419523626566,0.08925679515095811,0.7412459989388783,0.04517320017736263
2-agent mixed,GPT,24,0.7684162820171978,0.042603985391324914,0.7808046762195845,0.02248588003265283
2-agent mixed,Gemini,24,0.7680205309280642,0.051994395628490106,0.7746299636900109,0.03419331585819561
2-agent mixed,Sonnet,24,0.7139750584959984,0.09865287447174353,0.7394623127248551,0.037507776526989105
8-agent homogeneous,GPT,10,0.7605297628837296,0.02146060372884799,0.7719715459573837,0.017439651906350617
8-agent homogeneous,Gemini,10,0.7649792449078977,0.014832049932202036,0.7709065162428732,0.011739222354319304
8-agent homogeneous,Sonnet,10,0.6822342821507703,0.048541227452880406,0.7087759528705289,0.032308307121031075
8-agent mixed,GPT,60,0.7738926269123545,0.03701473770984995,0.769387899363904,0.02368468177586233
8-agent mixed,Gemini,30,0.7544932429693624,0.06281623265698708,0.7739396518244155,0.03866995236323304
8-agent mixed,Sonnet,30,0.6701000794497183,0.03394777660871098,0.7043166738018916,0.025902186151345815
