setting,own_label,mean,std,count
2-agent homogeneous,be cautious,0.3498336199429199,0.2968256859657282,7
2-agent homogeneous,be fair,0.3658631949232484,0.20866849329004894,188
2-agent homogeneous,be generous,0.3716421246776408,0.19437373632550772,85
2-agent mixed,be cautious,0.3811636999877389,0.1752562759946974,14
2-agent mixed,be fair,0.43502828955100636,0.171093761741191,195
2-agent mixed,be generous,0.4747790134053682,0.1365341073743628,131
8-agent homogeneous,be cautious,0.32775788122924693,0.24024276887392854,37
8-agent homogeneous,be fair,0.3746586181964823,0.1998262903873517,581
8-agent homogeneous,be generous,0.4536043325241874,0.1553407602931369,345
8-agent mixed,be cautious,0.38795140981849846,0.19884002390129613,158
8-agent mixed,be fair,0.40973841015068324,0.18404848275726213,1486
8-agent mixed,be generous,0.44473611856438483,0.17476069560267993,425
