setting,role,coef_coop_on_generous_after,ci_low,ci_high,p,n
2-agent homogeneous,investor,0.13718553477741477,-0.10776507825514958,0.3821361478099791,0.2723418948439903,270
2-agent homogeneous,trustee,-0.15698087885124523,-1.1091143424703862,0.7951525847678959,0.7465856697950841,266
2-agent mixed,investor,0.3457577821252795,-0.02669859764703353,0.7182141618975926,0.06883992307307216,323
2-agent mixed,trustee,0.22488040575481144,-0.34677708083103237,0.7965378923406552,0.44069700474674,322
8-agent homogeneous,investor,-0.0014419550643147323,-0.08803736443515095,0.08515345430652149,0.9739643804310384,1080
8-agent homogeneous,trustee,0.3521996606825316,0.01066468149073524,0.693734639874328,0.04326265596860001,919
8-agent mixed,investor,0.20788434583033866,0.15355960055224518,0.26220909110843216,6.372611567363644e-14,2160
8-agent mixed,trustee,0.5092019743135898,0.25835409738046133,0.7600498512467183,6.932903261830075e-05,1952
all settings,investor,0.16142795009348276,0.10976349694237489,0.21309240324459064,9.125648009202416e-10,3833
all settings,trustee,0.37549852437649284,0.19193778454180493,0.5590592642111807,6.08800310002865e-05,3459
