setting,exposure,task_order,n_runs,moral_cos_excess_mean,moral_cos_excess_sd,moral_cos_excess_p,moral_cos_excess_runs_positive,same_label_excess_mean,same_label_excess_sd,same_label_excess_p,same_label_excess_runs_positive
2-agent homogeneous,same family,game_myth,15,0.03383418051181017,0.03162972725842402,0.00018310546875,14,0.06111111111111111,0.09957471293852733,0.04580900313345924,11
2-agent homogeneous,same family,myth_game,15,0.03422607360062776,0.03630111187790496,0.00201416015625,12,0.09444444444444447,0.10824681119570591,0.006363890440205918,12
2-agent mixed,other family,game_myth,18,0.02053328953368008,0.02271039774211184,0.00400543212890625,13,0.15494378306878306,0.14418045287260012,0.00067138671875,14
2-agent mixed,other family,myth_game,18,0.011558778032108592,0.01836525116346308,0.0182342529296875,13,0.1037037037037037,0.1583319000049789,0.01976533041729735,11
8-agent homogeneous,same family,game_myth,15,0.02060831825133242,0.02033771885197656,0.00030517578125,13,0.05170069509285196,0.07445172720900757,0.03533935546875,10
8-agent homogeneous,same family,myth_game,15,0.0165210442930933,0.013222921783300744,6.103515625e-05,15,0.047711640211640226,0.04511476898569294,0.004505955590264732,13
8-agent mixed,other family,game_myth,30,0.004252050977948555,0.017039296039446164,0.39305018074810505,14,-0.009554814021923435,0.11373148140923443,0.7869371467657944,15
8-agent mixed,other family,myth_game,30,0.003405278460808623,0.02068715729513717,0.22064675763249397,18,0.006566183978464687,0.09228128699086528,0.3708973559436177,17
8-agent mixed,same family,game_myth,30,0.02262909657570303,0.0216227326931433,5.718320608139038e-07,26,0.029673554750265622,0.09393390958341068,0.11085014495766149,17
8-agent mixed,same family,myth_game,30,0.02235415905833426,0.017894301837758954,4.6566128730773926e-08,27,0.058637489402076796,0.07841260283252627,0.0013228367837521307,21
