size,exposure,family,parent_family,n_runs,adopt_parent_mean,adopt_parent_sd,adopt_null_mean,adopt_null_sd,adopt_excess_mean,adopt_excess_sd,cos_parent_mean,cos_parent_sd,cos_null_mean,cos_null_sd,cos_excess_mean,cos_excess_sd,adopt_excess_p,adopt_excess_runs_positive,cos_excess_p,cos_excess_runs_positive
2,homogeneous,GPT,GPT,10,0.2074705383606051,0.03073381452901247,0.05407873682378821,0.006116683374433897,0.1533374008339703,0.03531045329988461,0.8890536314911313,0.03112672613183573,0.7801066186692979,0.01690573891037079,0.1089470128218333,0.03048859121567978,0.001953125,10,0.001953125,10
2,homogeneous,Gemini,Gemini,10,0.1282995610173243,0.03456013568968022,0.07754389113071816,0.00860897372264563,0.05075566988660611,0.04086434267740165,0.7492921986513666,0.0891870402665493,0.6919793440235985,0.028467172811426644,0.05731285462776821,0.0683207803932967,0.001953125,10,0.037109375,8
2,homogeneous,Sonnet,Sonnet,10,0.14276040657386793,0.02892911460065357,0.06026090934867412,0.005899128779329841,0.08249949722519381,0.029901312921879888,0.7442830668555365,0.05207676990787945,0.6944059911701413,0.01522164742165117,0.049877075685395136,0.04948760139895935,0.001953125,10,0.005859375,9
2,"mixed, other family",GPT,Gemini,12,0.05354497031528881,0.01262535643382927,0.04089261609600672,0.0030244509992980286,0.01265235421928209,0.012440150273458657,0.7060180066360368,0.05046332763213104,0.6550086629749449,0.022073221267753185,0.05100934366109195,0.057214182791586354,0.0068359375,10,0.00927734375,10
2,"mixed, other family",GPT,Sonnet,12,0.06032176173041348,0.011450408309482497,0.04029786922105172,0.004101853824835018,0.020023892509361773,0.009154117887217397,0.7449438958256333,0.0421681721608318,0.7078110901293931,0.021294689960208075,0.037132805696240175,0.03955245106882441,0.00048828125,12,0.01220703125,9
2,"mixed, other family",Gemini,GPT,12,0.07156684597831262,0.01521012713215844,0.045786855666815666,0.004952634831523806,0.025779990311496945,0.01644823037033557,0.7141173632332573,0.06274422122414437,0.651654727274069,0.03501826151421138,0.06246263595918814,0.04168891716913734,0.00048828125,12,0.00048828125,12
2,"mixed, other family",Gemini,Sonnet,12,0.07341639959033625,0.014813354206666064,0.05128821454336824,0.0068826149175864075,0.022128185046967997,0.015157184540388046,0.6821857067169966,0.09513287968215638,0.6151468248830901,0.046034376109785134,0.06703888183390654,0.07240806990188021,0.0009765625,11,0.0048828125,10
2,"mixed, other family",Sonnet,GPT,12,0.05394206548806971,0.013131468243209106,0.040906309926305305,0.008638546094115985,0.013035755561764404,0.011210605059068375,0.7286206533511481,0.03360227919415147,0.7003554116796565,0.03497902134801295,0.028265241671491553,0.025633636967177336,0.00244140625,11,0.0048828125,10
2,"mixed, other family",Sonnet,Gemini,12,0.08750021420901477,0.013590001047951977,0.05399301437930368,0.006995840825584119,0.03350719982971109,0.015670880243572795,0.7003951354159249,0.07657036409550556,0.6267959045039282,0.031646371864352624,0.07359923091199662,0.07182791195588052,0.00048828125,12,0.0068359375,10
8,homogeneous,GPT,GPT,10,0.13325031829256326,0.010569102670455757,0.07996356679843838,0.004215702169601664,0.053286751494124894,0.008929437494784543,0.8425974696874619,0.012213976153929055,0.8249231501585907,0.013875407558142816,0.017674319528871114,0.0035474896644056364,0.001953125,10,0.001953125,10
8,homogeneous,Gemini,Gemini,10,0.10797670583689778,0.008559677863662771,0.09692930468878039,0.004723625308293585,0.011047401148117397,0.007937820283502725,0.6575276990731557,0.022399698035611777,0.6722128906183773,0.0137092074111844,-0.01468519154522154,0.013237500915793144,0.005859375,9,0.013671875,1
8,homogeneous,Sonnet,Sonnet,10,0.16042103426411305,0.010989699839357018,0.07739903993235062,0.00516716509677697,0.08302199433176245,0.011694976387692929,0.7265941927416456,0.024528885324019922,0.6816122550517321,0.0243615056886774,0.04498193768991365,0.009980747664299633,0.001953125,10,0.001953125,10
8,"mixed, other family",GPT,Gemini,20,0.046482103943673705,0.012858205696035862,0.03760651657335885,0.008081315628214939,0.008875587370314856,0.007585513510212942,0.6439622269901963,0.03294323808586384,0.6345789135347991,0.026997256981774086,0.009383313455397176,0.016930599651007332,2.6702880859375e-05,18,0.029575347900390625,13
8,"mixed, other family",GPT,Sonnet,30,0.06141848559558407,0.014973471215987001,0.04529591321347403,0.007680715559852964,0.016122572382110033,0.00966156145759576,0.6984754697966671,0.03295685657112584,0.6880508310387217,0.02601471420410745,0.01042463875794537,0.016915903934854495,1.862645149230957e-09,30,0.0015832837671041489,22
8,"mixed, other family",Gemini,GPT,30,0.0623156681165039,0.01616091334181401,0.04687815403559423,0.005937770688136503,0.015437514080909685,0.013638367896820035,0.6627979606433363,0.042216750737359046,0.6399147626919249,0.033387438475029924,0.02288319795141144,0.018984428273181413,1.30385160446167e-07,27,2.60770320892334e-08,27
8,"mixed, other family",Sonnet,GPT,20,0.06256284813081518,0.011806588203736526,0.04611764880186474,0.00665698517202241,0.016445199328950458,0.00935934827496243,0.6960890284139248,0.02637508865296142,0.6910839448644528,0.029565967409795373,0.005005083549472075,0.012232761118414454,1.9073486328125e-06,20,0.058258056640625,12
8,"mixed, same family",GPT,GPT,40,0.1330685688333378,0.02104873694435025,0.07670377209543096,0.00866598563693154,0.05636479673790686,0.017615347841769116,0.8302161193250741,0.02177921906193868,0.8112147562423904,0.022327687093349334,0.019001363082683846,0.010216448617762861,1.8189894035458565e-12,40,3.637978807091713e-12,39
8,"mixed, same family",Gemini,Gemini,10,0.10573507036189925,0.01806901148481697,0.0895542367701707,0.009589842901568404,0.01618083359172854,0.014305039497117516,0.6957239128649235,0.03881298034129434,0.6895852841436863,0.019254677771302648,0.006138628721237183,0.03495112636654634,0.009765625,8,0.76953125,6
8,"mixed, same family",Sonnet,Sonnet,30,0.15195372280915825,0.02019151809253121,0.07370850378574252,0.00784337097990809,0.07824521902341572,0.01778351414100361,0.7131912287669429,0.03927336496785357,0.6787610130107959,0.038551011408071545,0.03443021575614684,0.014281821625628455,1.862645149230957e-09,30,3.725290298461914e-09,29
