size,exposure,task_order,n_runs,adopt_parent_mean,adopt_parent_sd,adopt_null_mean,adopt_null_sd,adopt_excess_mean,adopt_excess_sd,cos_parent_mean,cos_parent_sd,cos_null_mean,cos_null_sd,cos_excess_mean,cos_excess_sd,adopt_excess_p,adopt_excess_runs_positive,cos_excess_p,cos_excess_runs_positive
2,homogeneous,game_myth,15,0.15270371319351542,0.042169556077430656,0.06620103258469627,0.013502565179422398,0.08653246637128215,0.05178573155492546,0.8218141341650927,0.06970355384033913,0.728397853727694,0.04051644395286912,0.09341628043739884,0.050082101041039204,6.103515625e-05,15,6.103515625e-05,15
2,homogeneous,myth_game,15,0.16631662410768283,0.05074141500375734,0.06172132561742404,0.010597913938253128,0.10452924559256467,0.059453345504689906,0.7666051305002636,0.10312699830626937,0.7159301155143314,0.0522306923418896,0.050675014985932236,0.05625370743945169,6.103515625e-05,15,0.0067138671875,12
2,"mixed, other family",game_myth,18,0.06800854271661622,0.013860868847238883,0.04622491570476302,0.00531770069750228,0.021783627011853192,0.011307715461656447,0.7214356391794152,0.06445086317323974,0.6561986465053057,0.03857733760526614,0.06523699267410937,0.055198457602387466,7.62939453125e-06,18,7.62939453125e-06,18
2,"mixed, other family",myth_game,18,0.06542220972052899,0.014942140795172521,0.04483004423952077,0.007028865145123265,0.020592165481008236,0.011394872314043838,0.7039912812135838,0.0632875091199195,0.6627255606430549,0.04548343580895573,0.04126572057052895,0.04342462562827051,7.62939453125e-06,18,0.00128936767578125,15
8,homogeneous,game_myth,15,0.1342992120930838,0.026466913627605268,0.08383009296130191,0.010219179879014367,0.05046911913178184,0.03438049255745296,0.7415779673390919,0.08432506822109859,0.7238428478439649,0.07956662986787134,0.017735119495126937,0.027359107446664088,6.103515625e-05,15,0.041259765625,10
8,homogeneous,myth_game,15,0.13346616016929896,0.021872346979987908,0.08569784798507765,0.00987662096221558,0.047768312184221305,0.029368327902907134,0.7429016069957505,0.07866567342969752,0.728656016041835,0.06889392517575277,0.01424559095391521,0.026537889104840638,0.0001220703125,14,0.083251953125,11
8,"mixed, other family",game_myth,30,0.05847279880323659,0.010590119301550332,0.04551471893587027,0.004545067523926652,0.012958079867366292,0.007911038729238633,0.6828681925792621,0.03574554176546595,0.6688137196554315,0.03495151159975782,0.014054472923830707,0.012972959891660226,1.30385160446167e-08,28,2.551823854446411e-07,25
8,"mixed, other family",myth_game,30,0.06130715584559857,0.01811101892539397,0.043718509418814826,0.007294258152360533,0.017588646426783743,0.013242152963439242,0.6739467909384184,0.04671107452663631,0.660473573027701,0.04099293575523009,0.013473217910717403,0.02002514437710394,3.725290298461914e-09,29,0.00018860027194023132,24
8,"mixed, same family",game_myth,30,0.14009663387846605,0.021249824603144053,0.07603570215394259,0.007567735506628125,0.06406093172452348,0.021845268559104403,0.7758293664816083,0.057639336565244434,0.7514516920299216,0.06523586703005463,0.024377674451686572,0.016856408348626138,1.862645149230957e-09,30,4.7124922275543213e-07,29
8,"mixed, same family",myth_game,30,0.14096549769153563,0.021101953448216637,0.07863105836409563,0.007264701466632555,0.062334439327439976,0.020587618576119803,0.7645410630815053,0.05233117625999435,0.7399221297540687,0.05747635117624951,0.024618933327436573,0.012949179822242196,1.862645149230957e-09,30,3.725290298461914e-09,29
