size,composition,family,partner_family,group,round,p_reads_as_partner_mean,p_reads_as_partner_sd,n_myths
2,Gemini+GPT,GPT,Gemini,mixed,1,0.017103861751397095,0.010977754690740978,12
2,Gemini+GPT,GPT,Gemini,mixed,2,0.021934962037518022,0.020081832020531182,12
2,Gemini+GPT,GPT,Gemini,mixed,3,0.019286816715939053,0.010010437621072447,11
2,Gemini+GPT,GPT,Gemini,mixed,4,0.023306401608348234,0.023652518454167312,12
2,Gemini+GPT,GPT,Gemini,mixed,5,0.03998323375787429,0.03708161630722976,12
2,Gemini+GPT,GPT,Gemini,mixed,6,0.033619908051149804,0.01998305680256369,12
2,Gemini+GPT,GPT,Gemini,mixed,7,0.056230394052437814,0.056337880588322634,12
2,Gemini+GPT,GPT,Gemini,mixed,8,0.06542758129802875,0.06003271959536119,12
2,Gemini+GPT,GPT,Gemini,mixed,9,0.07995178712480176,0.06964655502044996,12
2,Gemini+GPT,GPT,Gemini,mixed,10,0.06510414253392947,0.05110810892747301,12
2,Gemini+GPT,GPT,Gemini,homogeneous,1,0.022140753609230027,0.01525778355794461,20
2,Gemini+GPT,GPT,Gemini,homogeneous,2,0.012255488702979704,0.006902802416913054,20
2,Gemini+GPT,GPT,Gemini,homogeneous,3,0.011141579171307732,0.0067646769864469405,20
2,Gemini+GPT,GPT,Gemini,homogeneous,4,0.008886042799302095,0.0061839478728644365,20
2,Gemini+GPT,GPT,Gemini,homogeneous,5,0.009353169112647093,0.005093433273755535,20
2,Gemini+GPT,GPT,Gemini,homogeneous,6,0.009352990756578635,0.006087172395344496,20
2,Gemini+GPT,GPT,Gemini,homogeneous,7,0.008222689569625713,0.00532445940154024,20
2,Gemini+GPT,GPT,Gemini,homogeneous,8,0.008424227918247066,0.005451972719338292,20
2,Gemini+GPT,GPT,Gemini,homogeneous,9,0.009159505768697741,0.005991557335182676,20
2,Gemini+GPT,GPT,Gemini,homogeneous,10,0.008637067139852597,0.005099786356302702,20
2,Gemini+GPT,Gemini,GPT,mixed,1,0.018376455162009225,0.012009212818982434,12
2,Gemini+GPT,Gemini,GPT,mixed,2,0.038996319873943794,0.028623520824824455,12
2,Gemini+GPT,Gemini,GPT,mixed,3,0.031830174761997156,0.016352122142400522,12
2,Gemini+GPT,Gemini,GPT,mixed,4,0.0352571043882867,0.020174666144571345,12
2,Gemini+GPT,Gemini,GPT,mixed,5,0.03227390946678212,0.03439476058508449,12
2,Gemini+GPT,Gemini,GPT,mixed,6,0.026683077632911684,0.010437183470424043,12
2,Gemini+GPT,Gemini,GPT,mixed,7,0.03676742298517063,0.042501674304164315,12
2,Gemini+GPT,Gemini,GPT,mixed,8,0.025199441339680658,0.013342427028437555,12
2,Gemini+GPT,Gemini,GPT,mixed,9,0.04182050659279124,0.021850452978100433,12
2,Gemini+GPT,Gemini,GPT,mixed,10,0.035970186304890135,0.029281288787196682,12
2,Gemini+GPT,Gemini,GPT,homogeneous,1,0.017625730625662042,0.009690958918634666,20
2,Gemini+GPT,Gemini,GPT,homogeneous,2,0.010771749910441058,0.005326102466648847,20
2,Gemini+GPT,Gemini,GPT,homogeneous,3,0.009048201866491416,0.005460647487924052,20
2,Gemini+GPT,Gemini,GPT,homogeneous,4,0.007307893369774847,0.0031300892466910877,20
2,Gemini+GPT,Gemini,GPT,homogeneous,5,0.005677558633892011,0.0015023647911730582,20
2,Gemini+GPT,Gemini,GPT,homogeneous,6,0.005870258335895287,0.0026237009187868626,20
2,Gemini+GPT,Gemini,GPT,homogeneous,7,0.006013242838734442,0.0019383582249844114,20
2,Gemini+GPT,Gemini,GPT,homogeneous,8,0.005455405916556123,0.0022669694023365007,20
2,Gemini+GPT,Gemini,GPT,homogeneous,9,0.005530267271217348,0.0017320511974774741,20
2,Gemini+GPT,Gemini,GPT,homogeneous,10,0.005274699792368079,0.0018829671096066215,20
2,Sonnet+GPT,GPT,Sonnet,mixed,1,0.03639466332296742,0.02963956472444604,12
2,Sonnet+GPT,GPT,Sonnet,mixed,2,0.052301788152885054,0.03923061052850704,12
2,Sonnet+GPT,GPT,Sonnet,mixed,3,0.04656223450382679,0.04868304738085391,12
2,Sonnet+GPT,GPT,Sonnet,mixed,4,0.044790488097492066,0.02986102393475396,12
2,Sonnet+GPT,GPT,Sonnet,mixed,5,0.10182009140342153,0.106172405157684,12
2,Sonnet+GPT,GPT,Sonnet,mixed,6,0.09454268753951645,0.06292012290162881,12
2,Sonnet+GPT,GPT,Sonnet,mixed,7,0.10715186532327221,0.05436563220419563,12
2,Sonnet+GPT,GPT,Sonnet,mixed,8,0.08568647990057238,0.04236174426838872,12
2,Sonnet+GPT,GPT,Sonnet,mixed,9,0.1281614040172106,0.11627005266080422,12
2,Sonnet+GPT,GPT,Sonnet,mixed,10,0.12363675086681532,0.09019704880994191,12
2,Sonnet+GPT,GPT,Sonnet,homogeneous,1,0.037409966024278804,0.019246895255351698,20
2,Sonnet+GPT,GPT,Sonnet,homogeneous,2,0.018821131192359404,0.011591416375856943,20
2,Sonnet+GPT,GPT,Sonnet,homogeneous,3,0.014531754768614671,0.007655953929478486,20
2,Sonnet+GPT,GPT,Sonnet,homogeneous,4,0.013364587745469123,0.009392472809146842,20
2,Sonnet+GPT,GPT,Sonnet,homogeneous,5,0.012120698453442748,0.005956854953680978,20
2,Sonnet+GPT,GPT,Sonnet,homogeneous,6,0.012788794588321526,0.009909772363192295,20
2,Sonnet+GPT,GPT,Sonnet,homogeneous,7,0.01069826526021227,0.005811180019609091,20
2,Sonnet+GPT,GPT,Sonnet,homogeneous,8,0.010129698981911902,0.00522295054595851,20
2,Sonnet+GPT,GPT,Sonnet,homogeneous,9,0.012340552469164011,0.007693692948986936,20
2,Sonnet+GPT,GPT,Sonnet,homogeneous,10,0.011325831519764008,0.006540584106533605,20
2,Sonnet+GPT,Sonnet,GPT,mixed,1,0.020071750232038037,0.011130024263488778,12
2,Sonnet+GPT,Sonnet,GPT,mixed,2,0.024705448872239882,0.013642416779779346,12
2,Sonnet+GPT,Sonnet,GPT,mixed,3,0.016958717626509467,0.012254694242744071,12
2,Sonnet+GPT,Sonnet,GPT,mixed,4,0.01939446120426928,0.013329625543765197,12
2,Sonnet+GPT,Sonnet,GPT,mixed,5,0.023001823766395382,0.022065021085861006,12
2,Sonnet+GPT,Sonnet,GPT,mixed,6,0.021493441071679904,0.018404173293787397,12
2,Sonnet+GPT,Sonnet,GPT,mixed,7,0.02755787289857579,0.02913569668150417,12
2,Sonnet+GPT,Sonnet,GPT,mixed,8,0.027017610815340713,0.028848738945819418,12
2,Sonnet+GPT,Sonnet,GPT,mixed,9,0.027694201172982796,0.017396289903674183,12
2,Sonnet+GPT,Sonnet,GPT,mixed,10,0.034810372324777024,0.019709666366536545,12
2,Sonnet+GPT,Sonnet,GPT,homogeneous,1,0.019297502521679874,0.010295092425708233,20
2,Sonnet+GPT,Sonnet,GPT,homogeneous,2,0.018802203036430043,0.018602738779364997,20
2,Sonnet+GPT,Sonnet,GPT,homogeneous,3,0.01176151339366822,0.008233120037586777,20
2,Sonnet+GPT,Sonnet,GPT,homogeneous,4,0.011898517645147422,0.00882501762485369,20
2,Sonnet+GPT,Sonnet,GPT,homogeneous,5,0.015468090776510212,0.01726294272263107,20
2,Sonnet+GPT,Sonnet,GPT,homogeneous,6,0.019726129937789758,0.028124053632052864,20
2,Sonnet+GPT,Sonnet,GPT,homogeneous,7,0.015394027869189053,0.014913615851118316,20
2,Sonnet+GPT,Sonnet,GPT,homogeneous,8,0.013121568528326211,0.010390741566704885,20
2,Sonnet+GPT,Sonnet,GPT,homogeneous,9,0.01325387358470955,0.006911614328773599,20
2,Sonnet+GPT,Sonnet,GPT,homogeneous,10,0.01497224221972518,0.008597636506811297,20
2,Sonnet+Gemini,Gemini,Sonnet,mixed,1,0.04178179652373567,0.027353985432459538,12
2,Sonnet+Gemini,Gemini,Sonnet,mixed,2,0.10619550097269619,0.17162426783452636,12
2,Sonnet+Gemini,Gemini,Sonnet,mixed,3,0.06675008945102899,0.05808900385164698,12
2,Sonnet+Gemini,Gemini,Sonnet,mixed,4,0.09915137959065388,0.11254766164934053,12
2,Sonnet+Gemini,Gemini,Sonnet,mixed,5,0.09348355360307874,0.11013685329464085,12
2,Sonnet+Gemini,Gemini,Sonnet,mixed,6,0.08159684883057484,0.08420697046691179,12
2,Sonnet+Gemini,Gemini,Sonnet,mixed,7,0.08249083520064886,0.07693107302401285,12
2,Sonnet+Gemini,Gemini,Sonnet,mixed,8,0.08353707918728527,0.07349542618374069,12
2,Sonnet+Gemini,Gemini,Sonnet,mixed,9,0.0977656778095337,0.10722083720146626,12
2,Sonnet+Gemini,Gemini,Sonnet,mixed,10,0.11647248525147053,0.12046040620836541,12
2,Sonnet+Gemini,Gemini,Sonnet,homogeneous,1,0.031595113252602954,0.016302385775316824,20
2,Sonnet+Gemini,Gemini,Sonnet,homogeneous,2,0.02072884622892624,0.0091585668662876,20
2,Sonnet+Gemini,Gemini,Sonnet,homogeneous,3,0.019319320065998354,0.008682187920899458,20
2,Sonnet+Gemini,Gemini,Sonnet,homogeneous,4,0.012993244569047083,0.006498184395345998,20
2,Sonnet+Gemini,Gemini,Sonnet,homogeneous,5,0.011197876760069628,0.003711271683008428,20
2,Sonnet+Gemini,Gemini,Sonnet,homogeneous,6,0.010074798278480786,0.0037488892698637633,20
2,Sonnet+Gemini,Gemini,Sonnet,homogeneous,7,0.011775301415727578,0.005950004913755766,20
2,Sonnet+Gemini,Gemini,Sonnet,homogeneous,8,0.0088642022791105,0.004469329565665851,20
2,Sonnet+Gemini,Gemini,Sonnet,homogeneous,9,0.010209413288672652,0.004506068807359206,20
2,Sonnet+Gemini,Gemini,Sonnet,homogeneous,10,0.009767667958644801,0.005048699713899042,20
2,Sonnet+Gemini,Sonnet,Gemini,mixed,1,0.04338351408173385,0.07068147008787572,12
2,Sonnet+Gemini,Sonnet,Gemini,mixed,2,0.049717443155915086,0.041061884042354724,12
2,Sonnet+Gemini,Sonnet,Gemini,mixed,3,0.08097627663016188,0.08264259176173902,12
2,Sonnet+Gemini,Sonnet,Gemini,mixed,4,0.17295643863434407,0.1759491438250673,12
2,Sonnet+Gemini,Sonnet,Gemini,mixed,5,0.13269398562055498,0.11622872938062523,12
2,Sonnet+Gemini,Sonnet,Gemini,mixed,6,0.189408515598575,0.1520265209778117,12
2,Sonnet+Gemini,Sonnet,Gemini,mixed,7,0.2069188334007884,0.1551475616131839,12
2,Sonnet+Gemini,Sonnet,Gemini,mixed,8,0.21599202945047843,0.1804759147505704,12
2,Sonnet+Gemini,Sonnet,Gemini,mixed,9,0.1599756717365346,0.12393397894326076,12
2,Sonnet+Gemini,Sonnet,Gemini,mixed,10,0.22133556944751762,0.17088540951411965,12
2,Sonnet+Gemini,Sonnet,Gemini,homogeneous,1,0.023651584062273506,0.019276180222485312,20
2,Sonnet+Gemini,Sonnet,Gemini,homogeneous,2,0.022188888699591194,0.017548601257933272,20
2,Sonnet+Gemini,Sonnet,Gemini,homogeneous,3,0.012893553007978426,0.009783374058923239,20
2,Sonnet+Gemini,Sonnet,Gemini,homogeneous,4,0.012380929756501265,0.010093817955943695,20
2,Sonnet+Gemini,Sonnet,Gemini,homogeneous,5,0.012145123400899805,0.006742751715436054,20
2,Sonnet+Gemini,Sonnet,Gemini,homogeneous,6,0.016625241856030475,0.012114272251070018,20
2,Sonnet+Gemini,Sonnet,Gemini,homogeneous,7,0.012544437472043873,0.006995113801814389,20
2,Sonnet+Gemini,Sonnet,Gemini,homogeneous,8,0.013284854116818559,0.008049039124226868,20
2,Sonnet+Gemini,Sonnet,Gemini,homogeneous,9,0.01361939500228201,0.0073400486196287746,20
2,Sonnet+Gemini,Sonnet,Gemini,homogeneous,10,0.014471311618583704,0.00733658067233466,20
8,1 GPT + 7 Sonnet,GPT,Sonnet,mixed,1,0.02993149188103722,0.021836470113503127,10
8,1 GPT + 7 Sonnet,GPT,Sonnet,mixed,2,0.03223402998599551,0.014931099018527252,10
8,1 GPT + 7 Sonnet,GPT,Sonnet,mixed,3,0.03763768614482242,0.02701427162993329,10
8,1 GPT + 7 Sonnet,GPT,Sonnet,mixed,4,0.045498774333121904,0.033258303536522475,10
8,1 GPT + 7 Sonnet,GPT,Sonnet,mixed,5,0.05196805582926186,0.019281104170633896,10
8,1 GPT + 7 Sonnet,GPT,Sonnet,mixed,6,0.05014134454208071,0.026923072387871973,10
8,1 GPT + 7 Sonnet,GPT,Sonnet,mixed,7,0.1657885528618671,0.10958198075296623,10
8,1 GPT + 7 Sonnet,GPT,Sonnet,mixed,8,0.17489496283899664,0.1292714152285993,10
8,1 GPT + 7 Sonnet,GPT,Sonnet,mixed,9,0.2228299872025731,0.15256476145534467,10
8,1 GPT + 7 Sonnet,GPT,Sonnet,mixed,10,0.3010915548047496,0.19060268587595341,10
