setting,composition,task_order,round,metric,n_runs_total,n_runs_defined,mean,sd
dyad,Gemini+GPT,game,1,send,6,6,0.5,0.5477225575051661
dyad,Gemini+GPT,game,2,send,6,6,0.5,0.5477225575051661
dyad,Gemini+GPT,game,3,send,6,6,0.16666666666666666,0.408248290463863
dyad,Gemini+GPT,game,4,send,6,6,0.16666666666666666,0.408248290463863
dyad,Gemini+GPT,game,5,send,6,6,0.0,0.0
dyad,Gemini+GPT,game,6,send,6,6,0.0,0.0
dyad,Gemini+GPT,game,7,send,6,6,0.0,0.0
dyad,Gemini+GPT,game,8,send,6,6,0.0,0.0
dyad,Gemini+GPT,game,9,send,6,6,0.0,0.0
dyad,Gemini+GPT,game,10,send,6,6,0.0,0.0
dyad,Sonnet+Gemini,game,1,send,6,6,0.7999999999999999,0.21908902300206645
dyad,Sonnet+Gemini,game,2,send,6,6,0.8813333333333334,0.09803400770480956
dyad,Sonnet+Gemini,game,3,send,6,6,0.8833333333333333,0.13291601358251257
dyad,Sonnet+Gemini,game,4,send,6,6,0.9266666666666667,0.07659416862050704
dyad,Sonnet+Gemini,game,5,send,6,6,0.9166666666666666,0.11690451944500123
dyad,Sonnet+Gemini,game,6,send,6,6,0.92,0.08366600265340754
dyad,Sonnet+Gemini,game,7,send,6,6,0.9283333333333333,0.10962055768270232
dyad,Sonnet+Gemini,game,8,send,6,6,0.92,0.08099382692526634
dyad,Sonnet+Gemini,game,9,send,6,6,0.9333333333333332,0.10250203250017371
dyad,Sonnet+Gemini,game,10,send,6,6,0.91,0.09273618495495702
dyad,Sonnet+GPT,game,1,send,6,6,0.46666666666666673,0.39327683210007003
dyad,Sonnet+GPT,game,2,send,6,6,0.26666666666666666,0.32659863237109044
dyad,Sonnet+GPT,game,3,send,6,6,0.36666666666666664,0.3669695718539435
dyad,Sonnet+GPT,game,4,send,6,6,0.15,0.36742346141747667
dyad,Sonnet+GPT,game,5,send,6,6,0.03333333333333333,0.08164965809277261
dyad,Sonnet+GPT,game,6,send,6,6,0.08333333333333333,0.2041241452319315
dyad,Sonnet+GPT,game,7,send,6,6,0.03333333333333333,0.08164965809277261
dyad,Sonnet+GPT,game,8,send,6,6,0.0,0.0
dyad,Sonnet+GPT,game,9,send,6,6,0.0,0.0
dyad,Sonnet+GPT,game,10,send,6,6,0.0,0.0
dyad,Gemini+GPT,game_myth,1,send,6,6,0.6,0.48989794855663565
dyad,Gemini+GPT,game_myth,2,send,6,6,0.8333333333333334,0.19663841605003501
dyad,Gemini+GPT,game_myth,3,send,6,6,0.8006666666666667,0.3332306508511284
