composition,task_order,n_runs,total_resources_mean,total_resources_sd,zero_receipt_rate,sent_by_GPT_mean,sent_by_GPT_sd,return_prop_by_GPT_mean,return_prop_by_GPT_sd,round1_sent_by_GPT_mean,sent_by_Gemini_mean,sent_by_Gemini_sd,return_prop_by_Gemini_mean,return_prop_by_Gemini_sd,round1_sent_by_Gemini_mean,sent_by_Sonnet_mean,sent_by_Sonnet_sd,return_prop_by_Sonnet_mean,return_prop_by_Sonnet_sd,round1_sent_by_Sonnet_mean
Gemini+GPT,game,6,63.333333333333336,8.16496580927726,0.8666666666666667,0.16666666666666666,0.9128709291752769,0.08714285714285716,0.21124488660415458,0.0,1.1666666666666667,2.1509153357603816,0.44933333333333336,0.0,5.0,,,,,
Sonnet+Gemini,game,6,140.1966666666667,6.229162597546051,0.0,,,,,,4.9,0.24211709905575118,0.4179259043947081,0.05684131922919793,5.0,4.119666666666666,0.5496549596907533,0.4353061728395061,0.05997282226136453,3.0
Sonnet+GPT,game,6,64.0,14.25482374496437,0.75,0.3333333333333333,1.2685406585123125,0.03269230769230769,0.11588535694562946,1.6666666666666667,,,,,,1.0666666666666667,1.4064710873459967,0.462,0.02545584412271573,3.0
Gemini+GPT,game_myth,6,141.34,5.875168082701977,0.03333333333333333,4.1339999999999995,1.5010538826506827,0.3764666666666666,0.14325214487571994,1.0,5.0,0.0,0.4355444677871148,0.05509264171423141,5.0,,,,,
Sonnet+Gemini,game_myth,6,145.99666666666667,1.3023312430663214,0.0,,,,,,5.0,0.0,0.44602503974562796,0.03522407987723124,5.0,4.599666666666667,0.639452801274239,0.5006222222222222,0.06028817979707078,3.0
Sonnet+GPT,game_myth,6,116.90666666666665,26.73378885729942,0.06666666666666667,3.254,1.974116301643293,0.4001641509011531,0.21974355494341125,0.0,,,,,,3.436666666666667,1.4424556010219312,0.43788692925729966,0.17664288130466466,3.0
Gemini+GPT,myth_game,6,147.20666666666668,2.8900288349195886,0.0,4.720666666666667,0.7835284178695727,0.44076666666666664,0.03718042887310123,3.0,5.0,0.0,0.44554037999038,0.04490769259724782,5.0,,,,,
Sonnet+Gemini,myth_game,6,148.36666666666667,1.3880441875771328,0.0,,,,,,5.0,0.0,0.44917962962962954,0.030823311972400392,5.0,4.836666666666667,0.43666710537838804,0.5046888888888889,0.070675337428002,4.0
Sonnet+GPT,myth_game,6,120.20666666666666,18.074249823067806,0.0,3.595666666666667,1.1896527552865666,0.38053560532990394,0.13147351687495556,2.6666666666666665,,,,,,3.425,0.9727095111611936,0.46553773295292156,0.09387267578140537,4.0
Sonnet+Sonnet,game,5,100.8,7.981227975693965,0.0,,,,,,,,,,,2.54,0.4720774754816659,0.3750607503607503,0.07846971504711472,3.0
Gemini+Gemini,game,5,150.0,0.0,0.0,,,,,,5.0,0.0,0.4464066666666667,0.027852648396081425,5.0,,,,,
GPT+GPT,game,5,50.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,
Sonnet+Sonnet,game_myth,5,111.16,9.289940796366789,0.0,,,,,,,,,,,3.0580000000000003,0.4632802299133554,0.42618763333102955,0.05976228324668691,3.1
Gemini+Gemini,game_myth,5,150.0,0.0,0.0,,,,,,5.0,0.0,0.45660666666666666,0.031646695456766634,5.0,,,,,
GPT+GPT,game_myth,5,107.4,20.923670806051216,0.12,2.87,1.710740381548651,0.3060176767676767,0.11327573698139189,0.0,,,,,,,,,,
Sonnet+Sonnet,myth_game,5,115.64000000000001,16.408778138545237,0.0,,,,,,,,,,,3.2820000000000005,0.774541338931813,0.48322022806683185,0.11230311056792337,3.7
Gemini+Gemini,myth_game,5,150.0,0.0,0.0,,,,,,5.0,0.0,0.46502000000000004,0.03648578824370076,5.0,,,,,
GPT+GPT,myth_game,5,119.276,23.622719572479365,0.08,3.4638,1.5479952670918524,0.33450073993616913,0.09410589700754189,2.8,,,,,,,,,,
