composition,task_order,round,sent_mean,return_proportion_mean,zero_receipt_rate
Sonnet+Gemini,game,1,4.0,0.4188148148148148,0.0
Sonnet+Gemini,game,2,4.406666666666667,0.4283033033033033,0.0
Sonnet+Gemini,game,3,4.416666666666667,0.4176666666666667,0.0
Sonnet+Gemini,game,4,4.633333333333334,0.42130864197530865,0.0
Sonnet+Gemini,game,5,4.583333333333333,0.4266860670194004,0.0
Sonnet+Gemini,game,6,4.6000000000000005,0.4394663525967852,0.0
Sonnet+Gemini,game,7,4.641666666666667,0.43046133853151397,0.0
Sonnet+Gemini,game,8,4.6000000000000005,0.4255442506459948,0.0
Sonnet+Gemini,game,9,4.666666666666667,0.438912037037037,0.0
Sonnet+Gemini,game,10,4.55,0.41899691358024693,0.0
Sonnet+GPT,game,1,2.3333333333333335,0.111,0.3333333333333333
Sonnet+GPT,game,2,1.3333333333333333,0.14166666666666664,0.5
Sonnet+GPT,game,3,1.8333333333333333,0.12000000000000001,0.3333333333333333
Sonnet+GPT,game,4,0.75,0.0,0.8333333333333334
Sonnet+GPT,game,5,0.16666666666666666,0.0,0.8333333333333334
Sonnet+GPT,game,6,0.4166666666666667,0.0,0.8333333333333334
Sonnet+GPT,game,7,0.16666666666666666,0.0,0.8333333333333334
Sonnet+GPT,game,8,0.0,,1.0
Sonnet+GPT,game,9,0.0,,1.0
Sonnet+GPT,game,10,0.0,,1.0
Sonnet+Gemini,game_myth,1,4.0,0.4591111111111111,0.0
Sonnet+Gemini,game_myth,2,4.656666666666667,0.4707107107107107,0.0
Sonnet+Gemini,game_myth,3,5.0,0.47727777777777775,0.0
Sonnet+Gemini,game_myth,4,4.8,0.44325925925925924,0.0
Sonnet+Gemini,game_myth,5,4.833333333333333,0.48961111111111116,0.0
Sonnet+Gemini,game_myth,6,4.875,0.4747385620915033,0.0
Sonnet+Gemini,game_myth,7,5.0,0.48394444444444445,0.0
Sonnet+Gemini,game_myth,8,4.833333333333333,0.45691666666666664,0.0
Sonnet+Gemini,game_myth,9,5.0,0.5074444444444445,0.0
Sonnet+Gemini,game_myth,10,5.0,0.47022222222222215,0.0
Sonnet+GPT,game_myth,1,1.5,0.10148148148148149,0.5
Sonnet+GPT,game_myth,2,2.8866666666666667,0.34299999999999997,0.0
Sonnet+GPT,game_myth,3,3.0,0.5368888888888889,0.16666666666666666
Sonnet+GPT,game_myth,4,3.1666666666666665,0.37526587301587294,0.0
Sonnet+GPT,game_myth,5,3.6666666666666665,0.45428571428571424,0.0
Sonnet+GPT,game_myth,6,3.7916666666666665,0.4296172839506173,0.0
Sonnet+GPT,game_myth,7,3.716666666666667,0.4794444444444445,0.0
Sonnet+GPT,game_myth,8,4.0249999999999995,0.42466557734204796,0.0
Sonnet+GPT,game_myth,9,3.716666666666667,0.4642985409652076,0.0
Sonnet+GPT,game_myth,10,3.983333333333333,0.43589232886136914,0.0
Sonnet+Gemini,myth_game,1,4.5,0.49491666666666667,0.0
