setting,composition,task_order,family,metric,n_mixed_runs,mixed_mean,mixed_sd,n_homogeneous_runs,homogeneous_mean,homogeneous_sd,shift_mixed_minus_homogeneous
dyad,Sonnet+GPT,game,Sonnet,sent,6,1.0666666666666667,0.6772493386240157,5,2.54,0.39906139878469826,-1.4733333333333334
dyad,Sonnet+GPT,game,GPT,sent,6,0.3333333333333333,0.816496580927726,5,0.0,0.0,0.3333333333333333
dyad,Sonnet+GPT,game_myth,Sonnet,sent,6,3.436666666666667,1.3477339005407065,5,3.058,0.4644970398183394,0.37866666666666715
dyad,Sonnet+GPT,game_myth,GPT,sent,6,3.254,1.4098709160770713,5,2.87,1.0461835403025608,0.3839999999999999
dyad,Sonnet+GPT,myth_game,Sonnet,sent,6,3.4250000000000003,0.8221374580932315,5,3.282,0.8204389069272616,0.14300000000000024
dyad,Sonnet+GPT,myth_game,GPT,sent,6,3.5956666666666663,0.9877930282537261,5,3.4638,1.1811359786239686,0.13186666666666635
dyad,Sonnet+Gemini,game,Sonnet,sent,6,4.119666666666667,0.41195226260656315,5,2.54,0.39906139878469826,1.5796666666666672
dyad,Sonnet+Gemini,game,Gemini,sent,6,4.8999999999999995,0.24494897427831766,5,5.0,0.0,-0.10000000000000053
dyad,Sonnet+Gemini,game_myth,Sonnet,sent,6,4.599666666666667,0.13023312430663192,5,3.058,0.4644970398183394,1.541666666666667
dyad,Sonnet+Gemini,game_myth,Gemini,sent,6,5.0,0.0,5,5.0,0.0,0.0
dyad,Sonnet+Gemini,myth_game,Sonnet,sent,6,4.836666666666667,0.1388044187577136,5,3.282,0.8204389069272616,1.5546666666666669
dyad,Sonnet+Gemini,myth_game,Gemini,sent,6,5.0,0.0,5,5.0,0.0,0.0
dyad,Gemini+GPT,game,Gemini,sent,6,1.1666666666666667,0.408248290463863,5,5.0,0.0,-3.833333333333333
dyad,Gemini+GPT,game,GPT,sent,6,0.16666666666666666,0.408248290463863,5,0.0,0.0,0.16666666666666666
dyad,Gemini+GPT,game_myth,Gemini,sent,6,5.0,0.0,5,5.0,0.0,0.0
dyad,Gemini+GPT,game_myth,GPT,sent,6,4.134,0.5875168082701975,5,2.87,1.0461835403025608,1.2640000000000002
dyad,Gemini+GPT,myth_game,Gemini,sent,6,5.0,0.0,5,5.0,0.0,0.0
dyad,Gemini+GPT,myth_game,GPT,sent,6,4.720666666666666,0.2890028834919587,5,3.4638,1.1811359786239686,1.2568666666666664
population,1 Gemini + 7 GPT,game,Gemini,sent,5,0.8800000000000001,0.2683281572999748,5,5.0,0.0,-4.12
population,1 Gemini + 7 GPT,game,GPT,sent,5,0.0,0.0,5,0.0,0.0,0.0
population,2 Gemini + 6 GPT,game,Gemini,sent,5,1.9600000000000002,1.4909728367747013,5,5.0,0.0,-3.04
population,2 Gemini + 6 GPT,game,GPT,sent,5,0.56,0.6193186219996583,5,0.0,0.0,0.56
population,4 Gemini + 4 GPT,game,Gemini,sent,5,3.675,0.16770509831248426,5,5.0,0.0,-1.3250000000000002
population,4 Gemini + 4 GPT,game,GPT,sent,5,2.07,0.9270922284217465,5,0.0,0.0,2.07
