composition,minority,minority_count,majority,mixed,task_order,n_runs,per_agent_resources_mean,per_agent_resources_sd,minority_agent_resources_mean,minority_agent_resources_sd,majority_agent_resources_mean,majority_agent_resources_sd,zero_receipt_rate,cross_family_game_share,sent_by_GPT_mean,return_prop_by_GPT_mean,sent_GPT_to_GPT_mean,sent_GPT_to_Gemini_mean,sent_by_Gemini_mean,return_prop_by_Gemini_mean,sent_Gemini_to_GPT_mean,sent_Gemini_to_Gemini_mean,sent_by_Sonnet_mean,return_prop_by_Sonnet_mean,sent_Sonnet_to_Sonnet_mean,sent_Sonnet_to_GPT_mean,sent_GPT_to_Sonnet_mean
1 Gemini + 7 GPT,Gemini,1,GPT,True,game,5,26.1,0.33541019662496846,20.6,1.3416407864998738,26.885714285714283,0.5749889084999454,0.975,0.25,0.0,0.0,0.0,0.0,0.88,,0.88,,,,,,
2 Gemini + 6 GPT,Gemini,2,GPT,True,game,5,34.1,8.132880793421235,28.497000000000003,10.398474407334954,35.967666666666666,7.554213467404209,0.8,0.41,0.56,0.08510344827586207,0.5137614678899083,0.6829268292682927,1.96,0.4461212121212121,1.7804878048780488,2.7777777777777777,,,,,
4 Gemini + 4 GPT,Gemini,4,GPT,True,game,5,53.725,4.543539369258288,54.447500000000005,6.423670582307284,53.0025,6.399178169890257,0.42,0.55,2.07,0.1148939393939394,1.3111111111111111,2.690909090909091,3.675,0.4348117283950617,2.8636363636363638,4.666666666666667,,,,,
1 GPT + 7 Sonnet,GPT,1,Sonnet,True,game,5,53.511,2.706989564072976,52.614999999999995,8.092346693018039,53.638999999999996,2.022042789066622,0.065,0.25,3.2088,0.16771944444444448,,,,,,,2.8,0.3996260734643969,2.92,2.08,3.2088
2 GPT + 6 Sonnet,GPT,2,Sonnet,True,game,5,43.7,5.8024779189584175,37.297000000000004,7.207905035445457,45.83433333333333,5.531090358650413,0.33,0.41,1.16,0.06251851851851851,0.5555555555555556,,,,,,2.1066666666666665,0.3704036672140121,2.5688073394495414,0.8780487804878049,1.2926829268292683
4 GPT + 4 Sonnet,GPT,4,Sonnet,True,game,5,39.951,7.730609128652151,40.570499999999996,7.396502425133112,39.3315,8.716932265711371,0.54,0.55,1.2302,0.17029826254826252,1.2222222222222223,,,,,,1.76,0.4029046403888508,2.2222222222222223,1.3818181818181818,1.2367272727272727
1 Gemini + 7 GPT,Gemini,1,GPT,True,game_myth,5,52.2395,9.94138138037164,57.242000000000004,13.580864110946695,51.52485714285714,9.72575093370634,0.405,0.25,2.3987999999999996,0.37352282544492754,2.2186,3.48,5.0,0.4279707602339181,5.0,,,,,,
2 Gemini + 6 GPT,Gemini,2,GPT,True,game_myth,5,58.575,3.420526275297414,56.363,5.06552144403713,59.312333333333335,3.595259340050761,0.26,0.41,2.8433333333333333,0.3652919191919192,2.738532110091743,3.1219512195121952,4.9,0.42969298245614035,4.878048780487805,5.0,,,,,
4 Gemini + 4 GPT,Gemini,4,GPT,True,game_myth,5,68.5525,1.8765909916654726,65.89675,2.686965004889345,71.20824999999999,2.0044457619252283,0.09,0.55,3.8105,0.3950513285024155,3.977777777777778,3.673636363636364,4.9,0.43916560356652956,4.818181818181818,5.0,,,,,
1 GPT + 7 Sonnet,GPT,1,Sonnet,True,game_myth,5,56.1875,2.4913914284993437,58.04600000000001,4.823058417643315,55.922000000000004,2.30286818722981,0.02,0.25,3.34,0.36799793650793644,,,,,,,3.087142857142857,0.41835041123052813,3.1033333333333335,2.99,3.34
