minority,majority,task_order,minority_count,role,family,mean,sd,n_runs
Gemini,GPT,game,0,majority,GPT,25.0,0.0,5
Gemini,GPT,game,1,minority,Gemini,20.6,1.3416407864998738,5
Gemini,GPT,game,1,majority,GPT,26.885714285714283,0.5749889084999454,5
Gemini,GPT,game,2,minority,Gemini,28.497000000000003,10.398474407334954,5
Gemini,GPT,game,2,majority,GPT,35.967666666666666,7.554213467404209,5
Gemini,GPT,game,4,minority,Gemini,54.447500000000005,6.423670582307284,5
Gemini,GPT,game,4,majority,GPT,53.0025,6.399178169890257,5
Gemini,GPT,game,8,minority,Gemini,75.0,0.0,5
Gemini,GPT,game_myth,0,majority,GPT,37.977,7.125536471031498,5
Gemini,GPT,game_myth,1,minority,Gemini,57.242000000000004,13.580864110946695,5
Gemini,GPT,game_myth,1,majority,GPT,51.52485714285714,9.72575093370634,5
Gemini,GPT,game_myth,2,minority,Gemini,56.363,5.06552144403713,5
Gemini,GPT,game_myth,2,majority,GPT,59.312333333333335,3.595259340050761,5
Gemini,GPT,game_myth,4,minority,Gemini,65.89675,2.686965004889345,5
Gemini,GPT,game_myth,4,majority,GPT,71.20824999999999,2.0044457619252283,5
Gemini,GPT,game_myth,8,minority,Gemini,75.0,0.0,5
Gemini,GPT,myth_game,0,majority,GPT,45.0065,8.322889296992962,5
Gemini,GPT,myth_game,1,minority,Gemini,64.916,7.4586572182933795,5
Gemini,GPT,myth_game,1,majority,GPT,58.021142857142856,6.9357050279473285,5
Gemini,GPT,myth_game,2,minority,Gemini,70.26299999999999,4.669411566246872,5
Gemini,GPT,myth_game,2,majority,GPT,69.72966666666666,4.496767535006554,5
Gemini,GPT,myth_game,4,minority,Gemini,72.109,1.2696518961904448,5
Gemini,GPT,myth_game,4,majority,GPT,73.24600000000001,2.573559123567982,5
Gemini,GPT,myth_game,8,minority,Gemini,75.0,0.0,5
GPT,Sonnet,game,0,majority,Sonnet,55.175,1.010105192541846,5
GPT,Sonnet,game,1,minority,GPT,52.614999999999995,8.092346693018039,5
GPT,Sonnet,game,1,majority,Sonnet,53.638999999999996,2.022042789066622,5
GPT,Sonnet,game,2,minority,GPT,37.297000000000004,7.207905035445457,5
GPT,Sonnet,game,2,majority,Sonnet,45.83433333333333,5.531090358650413,5
GPT,Sonnet,game,4,minority,GPT,40.570499999999996,7.396502425133112,5
GPT,Sonnet,game,4,majority,Sonnet,39.3315,8.716932265711371,5
GPT,Sonnet,game,8,minority,GPT,25.0,0.0,5
GPT,Sonnet,game_myth,0,majority,Sonnet,54.1125,0.921106671347027,5
GPT,Sonnet,game_myth,1,minority,GPT,58.04600000000001,4.823058417643315,5
GPT,Sonnet,game_myth,1,majority,Sonnet,55.922000000000004,2.30286818722981,5
GPT,Sonnet,game_myth,2,minority,GPT,59.213,6.474139276768767,5
GPT,Sonnet,game_myth,2,majority,Sonnet,55.78233333333334,3.413306142062919,5
GPT,Sonnet,game_myth,4,minority,GPT,56.7365,6.80445909633896,5
GPT,Sonnet,game_myth,4,majority,Sonnet,54.481500000000004,6.606144003406978,5
GPT,Sonnet,game_myth,8,minority,GPT,37.977,7.125536471031498,5
GPT,Sonnet,myth_game,0,majority,Sonnet,68.735,4.425727341353056,5
GPT,Sonnet,myth_game,1,minority,GPT,69.053,2.331270040128343,5
GPT,Sonnet,myth_game,1,majority,Sonnet,64.53528571428572,4.7713661672565895,5
GPT,Sonnet,myth_game,2,minority,GPT,68.95200000000001,4.881694570023813,5
GPT,Sonnet,myth_game,2,majority,Sonnet,68.34933333333333,4.5627188455885515,5
GPT,Sonnet,myth_game,4,minority,GPT,64.191,6.6309957774077946,5
GPT,Sonnet,myth_game,4,majority,Sonnet,62.712,5.710307128342574,5
GPT,Sonnet,myth_game,8,minority,GPT,45.0065,8.322889296992962,5
