composition,task_order,round,sent_mean,return_proportion_mean,zero_receipt_rate
1 Gemini + 7 GPT,game,1,0.75,0.0,0.85
1 Gemini + 7 GPT,game,2,0.35,0.0,0.9
1 Gemini + 7 GPT,game,3,0.0,,1.0
1 Gemini + 7 GPT,game,4,0.0,,1.0
1 Gemini + 7 GPT,game,5,0.0,,1.0
1 Gemini + 7 GPT,game,6,0.0,,1.0
1 Gemini + 7 GPT,game,7,0.0,,1.0
1 Gemini + 7 GPT,game,8,0.0,,1.0
1 Gemini + 7 GPT,game,9,0.0,,1.0
1 Gemini + 7 GPT,game,10,0.0,,1.0
2 Gemini + 6 GPT,game,1,2.3,0.10290909090909092,0.45
2 Gemini + 6 GPT,game,2,1.05,0.07766666666666668,0.7
2 Gemini + 6 GPT,game,3,0.25,0.44933333333333336,0.95
2 Gemini + 6 GPT,game,4,0.75,0.15866666666666665,0.85
2 Gemini + 6 GPT,game,5,0.5,0.41500000000000004,0.9
2 Gemini + 6 GPT,game,6,0.75,0.2988888888888889,0.85
2 Gemini + 6 GPT,game,7,0.75,0.1366666666666667,0.85
2 Gemini + 6 GPT,game,8,1.0,0.22633333333333333,0.8
2 Gemini + 6 GPT,game,9,1.25,0.18626666666666666,0.75
2 Gemini + 6 GPT,game,10,0.5,0.43933333333333335,0.9
4 Gemini + 4 GPT,game,1,2.65,0.1801010101010101,0.45
4 Gemini + 4 GPT,game,2,2.875,0.2222222222222222,0.4
4 Gemini + 4 GPT,game,3,1.75,0.43685714285714283,0.65
4 Gemini + 4 GPT,game,4,1.75,0.37,0.65
4 Gemini + 4 GPT,game,5,3.7,0.29537777777777774,0.25
4 Gemini + 4 GPT,game,6,3.25,0.317948717948718,0.35
4 Gemini + 4 GPT,game,7,3.0,0.3005555555555555,0.4
4 Gemini + 4 GPT,game,8,3.5,0.3220952380952381,0.3
4 Gemini + 4 GPT,game,9,3.25,0.4205641025641026,0.35
4 Gemini + 4 GPT,game,10,3.0,0.32655555555555554,0.4
1 GPT + 7 Sonnet,game,1,2.55,0.32052287581699346,0.15
1 GPT + 7 Sonnet,game,2,2.45,0.33263157894736844,0.05
1 GPT + 7 Sonnet,game,3,2.636,0.3944154238271885,0.15
1 GPT + 7 Sonnet,game,4,2.825,0.34678696741854637,0.05
1 GPT + 7 Sonnet,game,5,2.4,0.3506596119929453,0.1
1 GPT + 7 Sonnet,game,6,2.65,0.4276470588235294,0.15
1 GPT + 7 Sonnet,game,7,3.2,0.38214880952380953,0.0
1 GPT + 7 Sonnet,game,8,3.175,0.38922222222222225,0.0
1 GPT + 7 Sonnet,game,9,3.125,0.3936428571428571,0.0
1 GPT + 7 Sonnet,game,10,3.5,0.4073444444444444,0.0
2 GPT + 6 Sonnet,game,1,2.2,0.2528968253968254,0.3
2 GPT + 6 Sonnet,game,2,1.825,0.27599999999999997,0.25
2 GPT + 6 Sonnet,game,3,1.8,0.3331679894179894,0.4
2 GPT + 6 Sonnet,game,4,1.65,0.33236772486772487,0.4
2 GPT + 6 Sonnet,game,5,1.675,0.3317948717948718,0.35
2 GPT + 6 Sonnet,game,6,1.75,0.3514957264957265,0.35
2 GPT + 6 Sonnet,game,7,1.525,0.30796296296296294,0.4
2 GPT + 6 Sonnet,game,8,2.0,0.3299285714285714,0.3
2 GPT + 6 Sonnet,game,9,2.35,0.4161904761904762,0.3
2 GPT + 6 Sonnet,game,10,1.925,0.36007830687830683,0.25
4 GPT + 4 Sonnet,game,1,1.625,0.12878787878787878,0.45
4 GPT + 4 Sonnet,game,2,1.05,0.1998888888888889,0.5
4 GPT + 4 Sonnet,game,3,0.925,0.4002380952380952,0.65
4 GPT + 4 Sonnet,game,4,1.2,0.38055555555555554,0.7
4 GPT + 4 Sonnet,game,5,1.95,0.2973148148148148,0.4
4 GPT + 4 Sonnet,game,6,1.725,0.3400793650793651,0.45
4 GPT + 4 Sonnet,game,7,1.65,0.35524691358024696,0.55
4 GPT + 4 Sonnet,game,8,0.975,0.323125,0.7
4 GPT + 4 Sonnet,game,9,1.451,0.4453543233082707,0.6
4 GPT + 4 Sonnet,game,10,2.4,0.32939814814814816,0.4
1 Gemini + 7 GPT,game_myth,1,0.85,0.10966666666666666,0.8
1 Gemini + 7 GPT,game_myth,2,1.527,0.3570732582803067,0.55
1 Gemini + 7 GPT,game_myth,3,2.25,0.3675222222222222,0.5
1 Gemini + 7 GPT,game_myth,4,2.65,0.36080555555555555,0.4
1 Gemini + 7 GPT,game_myth,5,2.65,0.3719166666666667,0.4
1 Gemini + 7 GPT,game_myth,6,3.1,0.4217948717948718,0.35
1 Gemini + 7 GPT,game_myth,7,3.9314999999999998,0.3725917911416014,0.15
1 Gemini + 7 GPT,game_myth,8,2.9,0.415925925925926,0.4
1 Gemini + 7 GPT,game_myth,9,4.0,0.4106666666666667,0.2
1 Gemini + 7 GPT,game_myth,10,3.3810000000000002,0.4274528963100392,0.3
2 Gemini + 6 GPT,game_myth,1,1.5,0.0,0.7
2 Gemini + 6 GPT,game_myth,2,1.7,0.2673434343434344,0.45
2 Gemini + 6 GPT,game_myth,3,1.625,0.33853333333333335,0.5
2 Gemini + 6 GPT,game_myth,4,2.9,0.3835,0.3
2 Gemini + 6 GPT,game_myth,5,3.2,0.3770555555555556,0.3
2 Gemini + 6 GPT,game_myth,6,3.8,0.43309375,0.2
2 Gemini + 6 GPT,game_myth,7,4.65,0.4181754385964912,0.05
2 Gemini + 6 GPT,game_myth,8,4.5,0.43695029239766076,0.05
2 Gemini + 6 GPT,game_myth,9,4.95,0.4234,0.0
2 Gemini + 6 GPT,game_myth,10,4.75,0.41535087719298247,0.05
4 Gemini + 4 GPT,game_myth,1,2.5,0.1212,0.5
4 Gemini + 4 GPT,game_myth,2,3.525,0.38990849673202616,0.15
4 Gemini + 4 GPT,game_myth,3,4.075,0.404953216374269,0.05
4 Gemini + 4 GPT,game_myth,4,4.7025,0.43929759584145556,0.05
4 Gemini + 4 GPT,game_myth,5,4.6,0.4268859649122807,0.05
4 Gemini + 4 GPT,game_myth,6,4.5,0.4431052631578948,0.05
4 Gemini + 4 GPT,game_myth,7,4.95,0.44259166666666666,0.0
4 Gemini + 4 GPT,game_myth,8,4.75,0.44984210526315793,0.05
4 Gemini + 4 GPT,game_myth,9,4.95,0.4597875,0.0
4 Gemini + 4 GPT,game_myth,10,5.0,0.44320000000000004,0.0
