model,num_agents,population,condition,condition_label,treatment,treatment_label,receiver_scope,round,metric,n_runs,mean,ci_low,ci_high
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,all,1,return_proportion,5,0.42444444444444446,0.310093449382344,0.5387954395065448
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,all,1,zero_receipt_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,all,1,forced_receiver_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,all,2,return_proportion,5,0.40151515151515155,0.29646463093407127,0.5065656720962318
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,all,2,zero_receipt_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,all,2,forced_receiver_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,all,3,return_proportion,5,0.36333333333333334,0.2775076910690306,0.44915897559763607
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,all,3,zero_receipt_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,all,3,forced_receiver_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,all,4,return_proportion,5,0.34211111111111114,0.2604236970682838,0.4237985251539385
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,all,4,zero_receipt_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,all,4,forced_receiver_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,all,5,return_proportion,5,0.36634920634920637,0.258897338391428,0.47380107430698476
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,all,5,zero_receipt_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,all,5,forced_receiver_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,all,6,return_proportion,5,0.4024444444444445,0.29456681364531656,0.5103220752435724
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,all,6,zero_receipt_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,all,6,forced_receiver_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,all,7,return_proportion,5,0.35717171717171714,0.2747042114664999,0.43963922287693435
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,all,7,zero_receipt_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,all,7,forced_receiver_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,all,8,return_proportion,5,0.37923809523809526,0.27464487439123814,0.4838313160849524
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,all,8,zero_receipt_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,all,8,forced_receiver_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,all,9,return_proportion,5,0.3762222222222222,0.2572635180539993,0.4951809263904451
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,all,9,zero_receipt_rate,5,0.0,0.0,0.0
