model,num_agents,population,condition,condition_label,treatment,treatment_label,replicate_id,round,receiver_scope,return_proportion,zero_receipt_rate,forced_receiver_rate,receiver_decisions,defined_return_decisions
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,0,1,all,0.4444444444444444,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,0,2,all,0.26666666666666666,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,0,3,all,0.41111111111111115,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,0,4,all,0.3333333333333333,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,0,5,all,0.4428571428571429,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,0,6,all,0.3333333333333333,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,0,7,all,0.4222222222222222,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,0,8,all,0.26666666666666666,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,0,9,all,0.4533333333333333,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,0,10,all,0.36666666666666664,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,1,1,all,0.5,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,1,2,all,0.42424242424242425,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,1,3,all,0.4444444444444444,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,1,4,all,0.28,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,1,5,all,0.4666666666666667,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,1,6,all,0.30666666666666664,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,1,7,all,0.36363636363636365,0.0,0.0,1,1
