population,agents,model,defection,task_order,n_runs,send_mean,send_std,send_round1,send_round10,send_best_run,ret_mean,ret_std,ret_round1,ret_round10,ret_best_run,best_rep
dyad,all,claude-sonnet-4.5,none,game,5,0.508,0.08,0.6,0.46,0.6,0.375,0.023,0.424,0.338,0.41,3
dyad,all,claude-sonnet-4.5,none,game_myth,5,0.612,0.093,0.62,0.586,0.75,0.426,0.028,0.394,0.433,0.423,3
dyad,all,claude-sonnet-4.5,none,myth_game,5,0.656,0.164,0.74,0.635,0.83,0.483,0.107,0.481,0.466,0.579,4
dyad,all,claude-sonnet-4.5,random25,game,5,0.269,0.08,0.48,0.04,0.345,0.229,0.1,0.382,0.0,0.244,1
dyad,all,claude-sonnet-4.5,random25,game_myth,5,0.43,0.155,0.48,0.22,0.69,0.33,0.103,0.392,0.278,0.403,2
dyad,all,claude-sonnet-4.5,random25,myth_game,5,0.563,0.099,0.8,0.3,0.667,0.375,0.071,0.457,0.3,0.295,3
dyad,all,claude-sonnet-4.5,random50,game,5,0.142,0.048,0.36,0.0,0.18,0.151,0.111,0.241,nan,0.306,2
dyad,all,claude-sonnet-4.5,random50,game_myth,5,0.206,0.077,0.36,0.08,0.32,0.161,0.168,0.259,0.0,0.4,0
dyad,all,claude-sonnet-4.5,random50,myth_game,5,0.22,0.076,0.44,0.0,0.33,0.228,0.151,0.237,nan,0.39,4
dyad,all,gemini-3.7-flash,none,game,5,1.0,0.0,1.0,1.0,1.0,0.446,0.007,0.45,0.44,0.438,0
dyad,all,gemini-3.7-flash,none,game_myth,5,1.0,0.0,1.0,1.0,1.0,0.457,0.017,0.454,0.446,0.454,0
dyad,all,gemini-3.7-flash,none,myth_game,5,1.0,0.0,1.0,1.0,1.0,0.465,0.027,0.456,0.474,0.438,0
dyad,all,gemini-3.7-flash,random25,game,5,0.42,0.179,0.8,0.0,0.6,0.279,0.092,0.448,nan,0.292,0
dyad,all,gemini-3.7-flash,random25,game_myth,5,0.48,0.148,0.8,0.2,0.7,0.21,0.101,0.445,0.0,0.187,3
dyad,all,gemini-3.7-flash,random25,myth_game,5,0.6,0.187,0.8,0.4,0.8,0.25,0.11,0.448,0.221,0.335,2
dyad,all,gemini-3.7-flash,random50,game,5,0.2,0.1,0.6,0.0,0.3,0.127,0.126,0.281,nan,0.285,2
dyad,all,gemini-3.7-flash,random50,game_myth,5,0.344,0.088,0.6,0.0,0.4,0.17,0.096,0.274,nan,0.209,0
dyad,all,gemini-3.7-flash,random50,myth_game,5,0.4,0.122,0.6,0.2,0.5,0.157,0.106,0.281,0.0,0.171,3
dyad,all,gpt-5-nano,none,game,5,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0
dyad,all,gpt-5-nano,none,game_myth,5,0.574,0.209,0.0,0.9,0.86,0.309,0.092,nan,0.317,0.343,0
dyad,all,gpt-5-nano,none,myth_game,5,0.693,0.236,0.56,0.687,0.955,0.331,0.052,0.299,0.339,0.381,3
dyad,all,gpt-5-nano,random25,game,5,0.04,0.089,0.2,0.0,0.2,0.0,nan,0.0,nan,0.0,1
dyad,all,gpt-5-nano,random25,game_myth,5,0.271,0.137,0.0,0.1,0.405,0.171,0.085,nan,0.01,0.247,3
dyad,all,gpt-5-nano,random25,myth_game,5,0.394,0.183,0.52,0.32,0.595,0.247,0.138,0.281,0.462,0.319,1
dyad,all,gpt-5-nano,random50,game,5,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0
dyad,all,gpt-5-nano,random50,game_myth,5,0.084,0.043,0.0,0.0,0.14,0.132,0.125,nan,nan,0.0,4
dyad,all,gpt-5-nano,random50,myth_game,5,0.152,0.038,0.4,0.12,0.18,0.093,0.087,0.202,0.0,0.142,2
population,all,claude-sonnet-4.5,defectors25,game,5,0.314,0.031,0.52,0.24,0.36,0.366,0.025,0.266,0.366,0.375,4
population,all,claude-sonnet-4.5,defectors25,game_myth,5,0.387,0.018,0.53,0.318,0.405,0.41,0.015,0.249,0.411,0.415,4
population,all,claude-sonnet-4.5,defectors25,myth_game,5,0.456,0.052,0.68,0.34,0.523,0.441,0.025,0.305,0.478,0.434,4
population,all,claude-sonnet-4.5,defectors50,game,5,0.109,0.028,0.34,0.0,0.15,0.333,0.093,0.196,nan,0.364,2
population,all,claude-sonnet-4.5,defectors50,game_myth,5,0.168,0.031,0.33,0.08,0.2,0.308,0.024,0.206,0.319,0.289,1
population,all,claude-sonnet-4.5,defectors50,myth_game,5,0.216,0.033,0.41,0.06,0.257,0.328,0.064,0.245,0.324,0.334,1
population,all,claude-sonnet-4.5,none,game,5,0.603,0.02,0.62,0.605,0.632,0.395,0.017,0.361,0.394,0.42,3
population,all,claude-sonnet-4.5,none,game_myth,5,0.582,0.018,0.6,0.595,0.607,0.408,0.009,0.377,0.406,0.413,1
population,all,claude-sonnet-4.5,none,myth_game,5,0.875,0.089,0.83,0.908,0.968,0.504,0.029,0.446,0.524,0.536,1
population,all,gemini-3.7-flash,defectors25,game,5,0.601,0.032,0.85,0.55,0.63,0.413,0.013,0.292,0.376,0.392,4
population,all,gemini-3.7-flash,defectors25,game_myth,5,0.63,0.033,0.85,0.55,0.675,0.401,0.011,0.29,0.411,0.391,2
population,all,gemini-3.7-flash,defectors25,myth_game,5,0.64,0.042,0.85,0.55,0.675,0.394,0.009,0.293,0.376,0.391,2
population,all,gemini-3.7-flash,defectors50,game,5,0.296,0.054,0.55,0.3,0.375,0.334,0.017,0.214,0.223,0.328,1
population,all,gemini-3.7-flash,defectors50,game_myth,5,0.345,0.048,0.55,0.1,0.425,0.302,0.048,0.22,0.443,0.273,4
population,all,gemini-3.7-flash,defectors50,myth_game,5,0.365,0.029,0.55,0.3,0.4,0.296,0.02,0.217,0.278,0.296,0
population,all,gemini-3.7-flash,none,game,5,1.0,0.0,1.0,1.0,1.0,0.448,0.005,0.435,0.443,0.452,0
population,all,gemini-3.7-flash,none,game_myth,5,1.0,0.0,1.0,1.0,1.0,0.448,0.004,0.433,0.443,0.451,0
population,all,gemini-3.7-flash,none,myth_game,5,1.0,0.0,1.0,1.0,1.0,0.449,0.005,0.438,0.443,0.452,0
population,all,gpt-5-nano,defectors25,game,5,0.003,0.007,0.03,0.0,0.015,0.0,nan,0.0,nan,0.0,0
population,all,gpt-5-nano,defectors25,game_myth,5,0.143,0.125,0.09,0.2,0.286,0.215,0.156,0.167,0.361,0.371,1
population,all,gpt-5-nano,defectors25,myth_game,5,0.17,0.105,0.57,0.1,0.335,0.282,0.061,0.203,0.411,0.35,3
population,all,gpt-5-nano,defectors50,game,5,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0
population,all,gpt-5-nano,defectors50,game_myth,5,0.01,0.015,0.0,0.0,0.035,0.098,0.021,nan,nan,0.109,2
population,all,gpt-5-nano,defectors50,myth_game,5,0.097,0.062,0.365,0.0,0.177,0.148,0.114,0.194,nan,0.263,4
population,all,gpt-5-nano,none,game,5,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0
population,all,gpt-5-nano,none,game_myth,5,0.26,0.143,0.0,0.3,0.46,0.32,0.027,nan,0.276,0.357,3
population,all,gpt-5-nano,none,myth_game,5,0.4,0.166,0.56,0.2,0.517,0.312,0.04,0.296,0.396,0.33,2
population,ordinary,claude-sonnet-4.5,defectors25,game,5,0.43,0.043,0.61,0.402,0.492,0.386,0.025,0.393,0.366,0.401,4
