model,noise_range,replicate,game_resources,myth_resources,paired_myth_effect,pairing_seed,noise_seed
anthropic/claude-sonnet-4.5,0,0,69.0,69.0,0.0,202608250,202608250
anthropic/claude-sonnet-4.5,0,1,65.0,75.0,10.0,202608251,202608251
anthropic/claude-sonnet-4.5,0,2,55.0,55.0,0.0,202608252,202608252
anthropic/claude-sonnet-4.5,0,3,55.0,75.0,20.0,202608253,202608253
anthropic/claude-sonnet-4.5,0,4,55.0,75.0,20.0,202608254,202608254
anthropic/claude-sonnet-4.5,1,0,53.0,47.599999999999994,-5.400000000000006,202608250,202608250
anthropic/claude-sonnet-4.5,1,1,51.5,54.0,2.5,202608251,202608251
anthropic/claude-sonnet-4.5,1,2,55.0,55.0,0.0,202608252,202608252
anthropic/claude-sonnet-4.5,1,3,46.0,66.0,20.0,202608253,202608253
anthropic/claude-sonnet-4.5,1,4,46.5,66.5,20.0,202608254,202608254
anthropic/claude-sonnet-4.5,2,0,51.5,64.5,13.0,202608250,202608250
anthropic/claude-sonnet-4.5,2,1,44.5,65.25,20.75,202608251,202608251
anthropic/claude-sonnet-4.5,2,2,36.5,64.75,28.25,202608252,202608252
anthropic/claude-sonnet-4.5,2,3,45.0,58.5,13.5,202608253,202608253
anthropic/claude-sonnet-4.5,2,4,41.7,51.2,9.5,202608254,202608254
google/gemini-3.7-flash,0,0,75.0,75.0,0.0,202608250,202608250
google/gemini-3.7-flash,0,1,75.0,75.0,0.0,202608251,202608251
google/gemini-3.7-flash,0,2,75.0,75.0,0.0,202608252,202608252
google/gemini-3.7-flash,0,3,75.0,75.0,0.0,202608253,202608253
google/gemini-3.7-flash,0,4,75.0,75.0,0.0,202608254,202608254
google/gemini-3.7-flash,1,0,75.0,75.0,0.0,202608250,202608250
google/gemini-3.7-flash,1,1,75.0,75.0,0.0,202608251,202608251
google/gemini-3.7-flash,1,2,75.0,75.0,0.0,202608252,202608252
google/gemini-3.7-flash,1,3,75.0,75.0,0.0,202608253,202608253
google/gemini-3.7-flash,1,4,75.0,75.0,0.0,202608254,202608254
google/gemini-3.7-flash,2,0,75.0,75.0,0.0,202608250,202608250
google/gemini-3.7-flash,2,1,75.0,75.0,0.0,202608251,202608251
google/gemini-3.7-flash,2,2,75.0,75.0,0.0,202608252,202608252
google/gemini-3.7-flash,2,3,75.0,75.0,0.0,202608253,202608253
google/gemini-3.7-flash,2,4,75.0,75.0,0.0,202608254,202608254
